TID;Time;Value;FromParticipantId;FromAccountId;ToParticipantId;ToAccountId;Linkcode;Starttime
23;2024-01-01 01:30:28;57228641.85;8;1;1;1;1164;2024-01-01 01:30:28
38;2024-01-01 01:36:01;132065823.02;8;3;5;3;834;2024-01-01 01:36:01
116;2024-01-01 01:58:21;114545402.31;6;2;2;2;276;2024-01-01 01:58:21
122;2024-01-01 01:59:46;7502724.69;8;3;1;3;530;2024-01-01 01:59:46
126;2024-01-01 02:00:30;11902806.1;5;3;7;3;537;2024-01-01 02:00:30
128;2024-01-01 02:01:55;55310517.66;7;3;2;3;355;2024-01-01 02:01:55
168;2024-01-01 02:14:31;61356694.07;2;2;3;2;885;2024-01-01 02:14:31
171;2024-01-01 02:15:08;72293148.12;4;4;7;4;898;2024-01-01 02:15:08
245;2024-01-01 02:37:17;87014804.28;1;0;7;0;167;2024-01-01 02:37:17
259;2024-01-01 02:41:45;90989221.95;4;3;1;3;660;2024-01-01 02:41:45
315;2024-01-01 03:00:15;20767541.86;5;1;7;1;933;2024-01-01 03:00:15
325;2024-01-01 03:02:27;9572339.84;4;0;1;0;153;2024-01-01 03:02:27
358;2024-01-01 03:14:32;83992233.82;7;0;5;0;817;2024-01-01 03:14:32
393;2024-01-01 03:24:48;47262580.62;1;0;4;0;390;2024-01-01 03:24:48
439;2024-01-01 03:46:35;56118240.5;4;3;7;3;845;2024-01-01 03:46:35
599;2024-01-01 04:57:12;73300477.59;3;0;1;0;765;2024-01-01 04:57:12
600;2024-01-01 04:57:13;69351193.72;8;2;1;2;990;2024-01-01 04:57:13
603;2024-01-01 04:57:23;105884066.7;5;0;4;0;110;2024-01-01 04:57:23
627;2024-01-01 05:11:39;8199972.85;8;3;4;3;902;2024-01-01 05:11:39
656;2024-01-01 05:27:00;84582175.94;8;2;7;2;940;2024-01-01 05:27:00
660;2024-01-01 05:28:51;82309478.22;4;2;7;2;697;2024-01-01 05:28:51
675;2024-01-01 05:34:43;58474715.56;4;0;7;0;517;2024-01-01 05:34:43
701;2024-01-01 05:47:39;60719979.34;3;0;6;0;1183;2024-01-01 05:47:39
712;2024-01-01 05:51:20;148508672.53;6;4;5;4;878;2024-01-01 05:51:20
733;2024-01-01 06:02:11;38178777.83;7;3;4;3;354;2024-01-01 06:02:11
755;2024-01-01 06:13:15;33442341.75;2;0;1;0;1075;2024-01-01 06:13:15
