TID;Time;Value;FromParticipantId;FromAccountId;ToParticipantId;ToAccountId;Linkcode;Starttime
29;2024-01-01 01:33:36;66674061.28;4;0;5;0;831;2024-01-01 01:53:39
77;2024-01-01 01:53:33;66674061.28;5;1;4;1;831;2024-01-01 01:53:39
38;2024-01-01 01:39:03;58950619.35;5;1;2;1;269;2024-01-01 01:58:15
86;2024-01-01 01:58:09;58950619.35;2;0;5;0;269;2024-01-01 01:58:15
2;2024-01-01 00:09:31;113418903.44;1;0;3;0;398;2024-01-01 02:08:54
110;2024-01-01 02:08:48;113418903.44;3;2;1;2;398;2024-01-01 02:08:54
49;2024-01-01 01:42:32;96747327.04;1;0;4;0;106;2024-01-01 02:17:10
129;2024-01-01 02:17:04;96747327.04;4;2;1;2;106;2024-01-01 02:17:10
67;2024-01-01 01:49:51;173121093.2;1;0;2;0;856;2024-01-01 02:25:36
151;2024-01-01 02:25:30;173121093.2;2;3;1;3;856;2024-01-01 02:25:36
178;2024-01-01 02:39:17;108319315.04;1;0;4;0;153;2024-01-01 02:40:26
183;2024-01-01 02:40:20;108319315.04;4;4;1;4;153;2024-01-01 02:40:26
177;2024-01-01 02:38:43;91025840.12;4;0;1;0;648;2024-01-01 02:53:15
210;2024-01-01 02:53:09;91025840.12;1;3;4;3;648;2024-01-01 02:53:15
173;2024-01-01 02:36:46;24176142.01;3;3;5;3;473;2024-01-01 02:58:19
219;2024-01-01 02:58:13;24176142.01;5;0;3;0;473;2024-01-01 02:58:19
136;2024-01-01 02:19:26;29034123.2;1;0;3;0;953;2024-01-01 03:00:36
222;2024-01-01 03:00:30;29034123.2;3;3;1;3;953;2024-01-01 03:00:36
101;2024-01-01 02:06:03;3490486.95;5;0;3;0;747;2024-01-01 03:05:54
238;2024-01-01 03:05:48;3490486.95;3;4;5;4;747;2024-01-01 03:05:54
198;2024-01-01 02:46:58;33144349.1;1;2;2;2;892;2024-01-01 03:11:17
247;2024-01-01 03:11:11;33144349.1;2;0;1;0;892;2024-01-01 03:11:17
21;2024-01-01 01:27:19;58355569.18;5;0;1;0;85;2024-01-01 03:12:58
249;2024-01-01 03:12:52;58355569.18;1;2;5;2;85;2024-01-01 03:12:58
