TID;Time;Value;FromParticipantId;FromAccountId;ToParticipantId;ToAccountId;Linkcode
1;2024-01-01 00:00:02;360491073.97;3;2;1;2;515
2;2024-01-01 00:00:26;352259427.73;4;1;2;1;1164
3;2024-01-01 00:00:39;419736942.56;2;0;1;0;449
4;2024-01-01 00:00:56;185974039.07;3;3;4;3;875
5;2024-01-01 00:00:57;60061777.53;3;1;6;1;495
6;2024-01-01 00:00:58;113682113.63;6;2;5;2;661
7;2024-01-01 00:01:23;267247416.54;2;0;6;0;1038
8;2024-01-01 00:01:35;196453039.18;1;0;3;0;556
9;2024-01-01 00:01:42;57633320.91;5;0;3;0;956
10;2024-01-01 00:02:06;145101573.71;4;0;3;0;1102
11;2024-01-01 00:02:53;320876491.06;4;0;2;0;1084
12;2024-01-01 00:03:01;164805595.88;1;0;4;0;747
13;2024-01-01 00:03:04;50237984.69;3;3;6;3;642
14;2024-01-01 00:03:15;77822727.98;1;3;5;3;415
15;2024-01-01 00:03:21;236022214.32;1;0;3;0;416
16;2024-01-01 00:04:07;180046282.59;5;3;4;3;374
17;2024-01-01 00:04:43;120949494.89;6;0;2;0;434
18;2024-01-01 00:05:01;409845010.19;4;0;1;0;546
19;2024-01-01 00:05:01;409159524.94;3;0;6;0;1130
20;2024-01-01 00:05:08;168617471.12;3;0;6;0;370
21;2024-01-01 00:05:23;767665741.8;1;0;2;0;34
22;2024-01-01 00:05:30;44149002.14;4;0;5;0;358
23;2024-01-01 00:05:32;32689399.53;2;0;6;0;116
24;2024-01-01 00:06:01;407710150.75;3;0;2;0;814
25;2024-01-01 00:06:03;207343927.58;6;2;4;2;1051
26;2024-01-01 00:06:04;95547535.04;2;3;4;3;40
27;2024-01-01 00:06:26;107650173.56;6;3;5;3;791
28;2024-01-01 00:06:35;110249320.45;4;2;3;2;223
29;2024-01-01 00:06:39;62273330.25;3;0;4;0;458
30;2024-01-01 00:06:42;423099088.19;2;2;1;2;318
31;2024-01-01 00:07:14;73158994.53;4;2;3;2;1061
32;2024-01-01 00:07:22;105676526.26;5;3;1;3;1067
33;2024-01-01 00:07:39;136538478.82;5;0;2;0;807
34;2024-01-01 00:07:54;358582567.01;2;0;5;0;982
35;2024-01-01 00:08:03;759596363.73;4;1;1;1;678
36;2024-01-01 00:08:52;729120248.64;3;2;1;2;155
37;2024-01-01 00:08:53;141679770.9;1;0;3;0;29
38;2024-01-01 00:08:59;329570907.93;1;2;2;2;1023
39;2024-01-01 00:09:17;228727839.31;2;1;1;1;969
40;2024-01-01 00:09:19;821119497.07;4;3;1;3;306
41;2024-01-01 00:09:33;226073910.91;5;1;3;1;398
42;2024-01-01 00:09:36;26658335.5;1;2;3;2;1212
43;2024-01-01 00:10:08;144302272.38;3;3;2;3;780
44;2024-01-01 00:10:08;167928942.05;6;0;5;0;243
45;2024-01-01 00:10:11;389516168.56;4;3;3;3;552
46;2024-01-01 00:10:12;372946614.56;2;0;1;0;885
47;2024-01-01 00:10:21;664703781.63;1;0;6;0;551
48;2024-01-01 00:10:49;34839529.57;1;3;6;3;697
49;2024-01-01 00:11:02;421713241.04;2;2;1;2;1041
50;2024-01-01 00:11:08;210124873.18;1;0;3;0;154
51;2024-01-01 00:11:11;491962966.56;1;0;3;0;922
52;2024-01-01 00:11:21;459733220.69;4;0;1;0;20
53;2024-01-01 00:11:32;121038995.95;5;0;1;0;118
54;2024-01-01 00:12:04;44276589.55;2;3;6;3;303
55;2024-01-01 00:12:11;441789109.23;2;0;5;0;429
56;2024-01-01 00:12:13;735104078.37;2;3;1;3;334
57;2024-01-01 00:12:30;92770737.99;2;0;4;0;1109
58;2024-01-01 00:12:41;19332553.07;4;1;5;1;947
59;2024-01-01 00:12:43;164608600.79;3;0;4;0;776
60;2024-01-01 00:12:44;208088268.08;5;2;3;2;132
61;2024-01-01 00:12:51;46068259.79;6;0;5;0;771
62;2024-01-01 00:13:08;113490405.26;2;2;5;2;836
63;2024-01-01 00:13:28;26508519.18;3;0;5;0;1125
64;2024-01-01 00:13:34;286358955.42;4;0;6;0;768
65;2024-01-01 00:13:37;713801143.31;1;0;2;0;867
66;2024-01-01 00:13:40;460493064.83;5;2;2;2;102
67;2024-01-01 00:13:48;31229401.44;5;0;1;0;684
68;2024-01-01 00:13:59;127701929.19;6;3;4;3;935
69;2024-01-01 00:14:05;468291930.3;5;1;4;1;1112
70;2024-01-01 00:14:07;191601859.06;1;0;3;0;596
71;2024-01-01 00:14:12;297790899.7;3;0;4;0;941
72;2024-01-01 00:14:22;32379230.82;5;0;1;0;1093
73;2024-01-01 00:14:34;394372873.12;2;2;3;2;796
74;2024-01-01 00:14:35;790316818.8;1;0;6;0;992
75;2024-01-01 00:14:41;426166234.23;1;0;6;0;361
76;2024-01-01 00:14:58;28758067.37;6;1;5;1;144
77;2024-01-01 00:15:00;349050444.92;2;0;4;0;253
78;2024-01-01 00:15:06;300196851.01;4;0;5;0;991
79;2024-01-01 00:15:26;114737407.27;1;1;5;1;649
80;2024-01-01 00:15:27;179539701.97;3;1;6;1;701
81;2024-01-01 00:15:32;36297512.67;4;1;5;1;818
82;2024-01-01 00:15:34;301214397.46;5;1;3;1;86
83;2024-01-01 00:15:35;195752377.09;2;0;1;0;313
84;2024-01-01 00:15:48;70013661.83;1;1;5;1;1219
85;2024-01-01 00:15:48;110162143.8;3;0;6;0;1117
86;2024-01-01 00:15:52;162042778.46;1;1;6;1;832
87;2024-01-01 00:15:52;327899802.94;3;2;1;2;629
88;2024-01-01 00:15:57;139060202.13;5;0;2;0;22
89;2024-01-01 00:16:13;317587551.2;2;0;4;0;760
90;2024-01-01 00:16:20;211548120.7;4;0;3;0;459
91;2024-01-01 00:16:21;350463550.54;2;0;6;0;539
92;2024-01-01 00:16:49;662354307.21;5;2;1;2;453
93;2024-01-01 00:17:08;200032860.6;4;3;6;3;851
94;2024-01-01 00:17:15;308575952.58;3;0;2;0;228
95;2024-01-01 00:17:17;138187683.24;3;0;4;0;279
96;2024-01-01 00:17:22;50180561.39;5;0;6;0;1091
97;2024-01-01 00:17:51;399915364.33;6;1;4;1;252
98;2024-01-01 00:17:56;50699217.64;5;0;6;0;412
99;2024-01-01 00:17:57;146035335.18;5;0;3;0;1066
100;2024-01-01 00:18:11;245799481.27;4;3;3;3;1119
