PartID;Account ID;00:00:00;00:15:00;00:30:00;00:45:00;01:00:00;01:15:00;01:30:00;01:45:00;02:00:00;02:15:00;02:30:00;02:45:00;03:00:00;03:15:00;03:30:00;03:45:00;04:00:00;04:15:00;04:30:00;04:45:00;05:00:00;05:15:00;05:30:00;05:45:00;06:00:00;06:15:00;06:30:00;06:45:00;07:00:00;07:15:00;07:30:00;07:45:00;08:00:00;08:15:00;08:30:00;08:45:00;09:00:00;09:15:00;09:30:00;09:45:00;10:00:00;10:15:00;10:30:00;10:45:00;11:00:00;11:15:00;11:30:00;11:45:00;12:00:00;12:15:00;12:30:00;12:45:00;13:00:00;13:15:00;13:30:00;13:45:00;14:00:00;14:15:00;14:30:00;14:45:00;15:00:00;15:15:00;15:30:00;15:45:00;16:00:00;16:15:00;16:30:00;16:45:00;17:00:00;17:15:00;17:30:00;17:45:00;18:00:00;18:15:00;18:30:00;18:45:00;19:00:00;19:15:00;19:30:00;19:45:00;20:00:00;20:15:00;20:30:00;20:45:00;21:00:00;21:15:00;21:30:00;21:45:00;22:00:00;22:15:00;22:30:00;22:45:00;23:00:00;23:15:00;23:30:00;23:45:00
1;0;23676431;23676431;23676431;23676431;23676431;23676431;23676431;32404033;36351070;35514271;35514271;35514271;35514271;35514271;33376428;33376428;33376428;33376428;33376428;39575233;39575233;50859026;55681874;55681874;78034008;76969760;78271432;78271432;82845543;85774917;96712416;108730537;107550928;107326029;106716643;102375035;110260756;109023586;131983633;131983633;131304147;131304147;131304147;130091555;133752749;144379489;143330083;157388341;170263526;193454344;212817501;212259446;213708426;225652717;223654531;224717729;230187547;261819971;259580305;257657320;256645168;264986608;276585591;279215548;285662228;291221881;289597604;294495814;297274975;293551231;293551231;296863691;296863691;300654718;302023253;310346567;310346567;308464652;308464652;308464652;308464652;308464652;308464652;308464652;308464652;308464652;308464652;308464652;308464652;308464652;308464652;308464652;308464652;308464652;308464652;308464652
1;7;67092658;67092658;67092658;67092658;67092658;67092658;67092658;68367898;68367898;68367898;68367898;68367898;68367898;68367898;68367898;68367898;68367898;68367898;68367898;68367898;68367898;68367898;68367898;68367898;68367898;68367898;68367898;68367898;68367898;68367898;68367898;56564235;57743844;57743844;57743844;59373318;51487597;51487597;51487597;51487597;53437936;53437936;53437936;53437936;48009360;48009360;48009360;48009360;48009360;48009360;39495174;39495174;38046193;36841417;37566941;37566941;36623013;30852537;30852537;30852537;30852537;30852537;30852537;30852537;25684890;19284507;19284507;19284507;19284507;19284507;19284507;19284507;19284507;19284507;19284507;20737893;20737893;20737893;20737893;20737893;20737893;20737893;20737893;20737893;20737893;20737893;20737893;20737893;20737893;20737893;20737893;20737893;20737893;20737893;20737893;20737893
1;6;94841085;94841085;94841085;94841085;94841085;94841085;94841085;94841085;94841085;94841085;94841085;94841085;94841085;94841085;94841085;94841085;94841085;94841085;94841085;94841085;94841085;83557292;83557292;83557292;83557292;83557292;83557292;83557292;83557292;83557292;83557292;83557292;83557292;83557292;83557292;83557292;83557292;83557292;83557292;83557292;83557292;83557292;83557292;83557292;83557292;83557292;83557292;83557292;83557292;85650940;86109789;86109789;86109789;86109789;86519830;85456631;85456631;83531601;85225025;87148010;87148010;87148010;87148010;85764963;85764963;85764963;85764963;85764963;85764963;85764963;85764963;85764963;85764963;85764963;85764963;85764963;85764963;85764963;85764963;85764963;85764963;85764963;85764963;85764963;85764963;85764963;85764963;85764963;85764963;85764963;85764963;85764963;85764963;85764963;85764963;85764963
1;4;82306932;82306932;82306932;82306932;82306932;82306932;82306932;83614262;83614262;83614262;83614262;83614262;83614262;83614262;83614262;83614262;83614262;83614262;83614262;83614262;83614262;83614262;83614262;83614262;82831342;82831342;82831342;82831342;82831342;82831342;82831342;82831342;82831342;82831342;83440727;86152862;86152862;86152862;70289686;70289686;70289686;70289686;70289686;70289686;70289686;70289686;70289686;70289686;70289686;57627286;57627286;57627286;57627286;57627286;58489908;58489908;60197727;60197727;60743969;60743969;60743969;60743969;49144986;49144986;49144986;49985716;49985716;45541055;45541055;45541055;45541055;45541055;45541055;45541055;46153275;46153275;46153275;46153275;46153275;46153275;46153275;46153275;46153275;46153275;46153275;46153275;46153275;46153275;46153275;46153275;46153275;46153275;46153275;46153275;46153275;46153275
1;8;119199981;119199981;119199981;119199981;119199981;119199981;119199981;119199981;119199981;119199981;119199981;119199981;119199981;119199981;121337824;121337824;121337824;121337824;121337824;121337824;121337824;121337824;114194811;114194811;103253555;103253555;103253555;103253555;103253555;103253555;103253555;103253555;103253555;103253555;103253555;103253555;103253555;103253555;103253555;103253555;103253555;103253555;103253555;103253555;103253555;91550295;91550295;91550295;91550295;91550295;91550295;91550295;91550295;91550295;91550295;91550295;93048155;93678550;93678550;93678550;94690701;94690701;94690701;93443791;90351403;90351403;90351403;90351403;90351403;90351403;90351403;87038944;87038944;87038944;87038944;75169030;75169030;75169030;75169030;75169030;75169030;75169030;75169030;75169030;75169030;75169030;75169030;75169030;75169030;75169030;75169030;75169030;75169030;75169030;75169030;75169030
1;3;47941961;47941961;47941961;47941961;47941961;47941961;47941961;47941961;43994924;43994924;43994924;43994924;43994924;43994924;43994924;43994924;43994924;43994924;43994924;43994924;43994924;43994924;43994924;43994924;43994924;43994924;43994924;43994924;43994924;41065550;41065550;41065550;41065550;41065550;41065550;41065550;41065550;41065550;37708809;37708809;39845270;39845270;39845270;39845270;40624844;40624844;40624844;40624844;28144274;28144274;28144274;28702330;28702330;28702330;28702330;28702330;19589771;19589771;19589771;19589771;19589771;19589771;19589771;19589771;19589771;19589771;19589771;19136221;19136221;19136221;19136221;19136221;19136221;19136221;19136221;20636813;20636813;20636813;20636813;20636813;20636813;20636813;20636813;20636813;20636813;20636813;20636813;20636813;20636813;20636813;20636813;20636813;20636813;20636813;20636813;20636813
1;2;35680957;35680957;35680957;35680957;35680957;35680957;35680957;29261781;29261781;29261781;29261781;29261781;29261781;29261781;29261781;29261781;29261781;29261781;29261781;29261781;29261781;29261781;29261781;29261781;18633823;18633823;17332151;17332151;12758040;12758040;12758040;12758040;12758040;12758040;12758040;12758040;12758040;12758040;12758040;12758040;12758040;12758040;12758040;12758040;13745847;13745847;13745847;13745847;13745847;878698;878698;878698;878698;878698;878698;878698;878698;-12173843;-12173843;-12173843;-12173843;-20515283;-20515283;-20515283;-20515283;-20515283;-18891006;-18891006;-18891006;-18891006;-18891006;-18891006;-18891006;-18891006;-20871761;-20871761;-20871761;-20871761;-20871761;-20871761;-20871761;-20871761;-20871761;-20871761;-20871761;-20871761;-20871761;-20871761;-20871761;-20871761;-20871761;-20871761;-20871761;-20871761;-20871761;-20871761
1;5;36590439;36590439;36590439;36590439;36590439;36590439;36590439;31699441;31699441;32536240;32536240;32536240;32536240;32536240;32536240;32536240;32536240;32536240;32536240;32536240;32536240;32536240;34856404;34856404;34856404;35920652;35920652;35920652;35920652;35920652;24983153;24983153;24983153;24983153;24983153;24983153;24983153;24983153;24983153;24983153;21575840;21575840;21575840;21575840;21575840;22652360;22652360;16651761;16257147;16502229;5194408;5194408;5194408;5194408;5194408;5194408;6575398;-4939371;-4939371;-4939371;-4939371;-4939371;-4939371;-4939371;-3126016;-3126016;-3126016;-3126016;-5905177;-5905177;-5905177;-5905177;-5905177;-5905177;-5905177;-5905177;-5905177;-4023262;-4023262;-4023262;-4023262;-4023262;-4023262;-4023262;-4023262;-4023262;-4023262;-4023262;-4023262;-4023262;-4023262;-4023262;-4023262;-4023262;-4023262;-4023262
1;1;51077693;51077693;51077693;51077693;51077693;51077693;51077693;51077693;51077693;51077693;51077693;51077693;51077693;51077693;51077693;51077693;51077693;51077693;51077693;44878888;44878888;44878888;44878888;44878888;44878888;44878888;44878888;44878888;44878888;44878888;44878888;44664428;44664428;44889327;44889327;44889327;44889327;46126497;42386367;42386367;42386367;42386367;42386367;43598960;43598960;43598960;44648367;36590706;36590706;36590706;36590706;36590706;36590706;25851192;25851192;25851192;25851192;25851192;25851192;25851192;25851192;25851192;25851192;25851192;25851192;25851192;25851192;25851192;25851192;29574936;29574936;29574936;29574936;25783909;25783909;26376531;26376531;26376531;26376531;26376531;26376531;26376531;26376531;26376531;26376531;26376531;26376531;26376531;26376531;26376531;26376531;26376531;26376531;26376531;26376531;26376531
2;0;66367785;66367785;66367785;66367785;66367785;66367785;66367785;57859151;51440277;51440277;54452674;54452674;54452674;45695894;45869569;43837306;36947353;33033658;27510255;27510255;23191656;23191656;23191656;23191656;20778196;22816549;19351463;13408841;23595233;20665859;22543218;22543218;16547446;18096420;17797615;19446762;27210514;23273844;23273844;22016525;37451314;57944832;53616149;59921158;58893008;58893008;53763514;60860499;60055067;51041892;51041892;49546414;47586323;69068510;79417976;80204668;81376450;78508705;94245426;87022262;94122555;97047632;93146254;93311168;85376094;78843682;76867136;76392890;71296587;53169104;62528078;54968456;52645326;54781449;54781449;49851007;47537202;48239932;48239932;48239932;48239932;48239932;48239932;48239932;48239932;48239932;48239932;48239932;48239932;48239932;48239932;48239932;48239932;48239932;48239932;48239932
