Part ID;Account ID;Balance;Credit limit
1;0;27266693;0.00
1;1;218069878;0.00
1;2;384391839;231.61
1;3;209839248;140.00
2;0;737090335;0.00
2;1;371270869;156073179.53
2;2;348286919;0.00
2;3;568643823;389741145.11
3;0;789403634;0.00
3;1;520680562;201801.95
3;2;106490073;0.00
3;3;19987153;203547327.35
4;0;607083375;0.00
4;1;749737258;232057004.45
4;2;961461026;0.00
4;3;377676548;0.00
5;0;23715173;0.01
5;1;239869855;0.02
5;2;822354920;0.03
5;3;436732464;0.04
6;0;314116799;0.05
6;1;914655363;0.06
6;2;377257191;0.07
6;3;683147517;0.08
7;0;537108554;0.09
7;1;967305421;0.10
7;2;451200434;0.11
7;3;184108033;0.12
8;0;996049251;0.13
8;1;187012795;0.14
8;2;374602866;0.15
8;3;791965499;0.16
9;0;576067687;0.17
9;1;656080993;0.18
9;2;272205966;0.19
9;3;996574845;0.20
10;0;503331004;0.21
10;1;210981646;0.22
10;2;589713282;0.23
10;3;184234175;0.24
11;0;135515520;0.25
11;1;969932684;0.26
11;2;140498181;0.27
11;3;229995065;0.28
12;0;815748921;0.29
12;1;406675504;0.30
12;2;865344141;0.31
12;3;301241815;0.32
13;0;124234187;0.33
13;1;130303969;0.34
13;2;631644637;0.35
13;3;992560380;0.36
14;0;580808180;0.37
14;1;131314496;0.38
14;2;74944635;0.39
14;3;644354813;0.40
15;0;550401340;0.41
15;1;814810140;0.42
15;2;759433916;0.43
15;3;630712186;0.44
16;0;60126777;0.45
16;1;982706917;0.46
16;2;181356473;0.47
16;3;479821513;0.48
17;0;505163352;0.49
17;1;703377852;0.50
17;2;973610836;0.51
17;3;295944684;0.52
18;0;801384451;0.53
18;1;624544556;0.54
18;2;407751713;0.55
18;3;588097755;0.56
19;0;753537600;0.57
19;1;549657507;0.58
19;2;314929790;0.59
19;3;753034826;0.60
20;0;826758679;0.61
20;1;785777232;0.62
20;2;615166902;0.63
20;3;660360420;0.64
21;0;346897424;0.65
21;1;672350704;0.66
21;2;645065211;0.67
21;3;636869484;0.68
22;0;553174771;0.69
22;1;264167673;0.70
22;2;651564692;0.71
22;3;335745861;0.72
23;0;925327337;0.73
23;1;295748381;0.74
23;2;840108158;0.75
23;3;755589829;0.76
24;0;801199460;0.77
24;1;283212658;0.78
24;2;559141858;0.79
24;3;659680904;0.80
25;0;336835135;0.81
25;1;597733836;0.82
25;2;124417680;0.83
25;3;549456300;0.84
26;0;802749650;0.85
26;1;791169032;0.86
26;2;360045873;0.87
26;3;996716888;0.88
27;0;362332537;0.89
27;1;583319947;0.90
27;2;605556011;0.91
27;3;751603423;0.92
28;0;524346254;0.93
28;1;411436190;0.94
28;2;908399266;0.95
28;3;270604281;0.96
29;0;99196567;0.97
29;1;121275263;0.98
29;2;393942728;0.99
29;3;659592790;0.100
30;0;863817095;0.101
30;1;623136367;0.102
30;2;728026291;0.103
30;3;893729379;0.104
31;0;196498942;0.105
31;1;554786463;0.106
31;2;514224128;0.107
31;3;943189685;0.108
32;0;957930172;0.109
32;1;152354990;0.110
32;2;759116366;0.111
32;3;793402257;0.112
33;0;227760289;0.113
33;1;439948307;0.114
33;2;637879284;0.115
33;3;27960274;0.116
34;0;854956654;0.117
34;1;302610062;0.118
34;2;780091597;0.119
34;3;370301126;0.120
35;0;70435736;0.121
35;1;165004815;0.122
35;2;620175756;0.123
35;3;745161784;0.124
36;0;830417668;0.125
36;1;705423499;0.126
36;2;41748987;0.127
36;3;170075790;0.128
37;0;569648447;0.129
37;1;371690964;0.130
37;2;369403921;0.131
37;3;859997059;0.132
38;0;600789891;0.133
38;1;921134577;0.134
38;2;488790016;0.135
38;3;401655524;0.136
39;0;426103430;0.137
39;1;950938000;0.138
39;2;166213367;0.139
39;3;608573715;0.140
40;0;958562968;0.141
40;1;749630801;0.142
40;2;652086761;0.143
40;3;350489555;0.144
41;0;897293302;0.145
41;1;978565116;0.146
41;2;488501854;0.147
41;3;675339244;0.148
42;0;540343485;0.149
42;1;994876207;0.150
42;2;51459692;0.151
42;3;896166876;0.152
43;0;492047374;0.153
43;1;755793821;0.154
43;2;913107061;0.155
43;3;404020077;0.156
44;0;688584005;0.157
44;1;474012602;0.158
44;2;160388035;0.159
44;3;884466024;0.160
45;0;944745991;0.161
45;1;264008191;0.162
45;2;653180504;0.163
45;3;804896714;0.164
46;0;544581573;0.165
46;1;775249368;0.166
46;2;635397048;0.167
46;3;192157342;0.168
47;0;824251542;0.169
47;1;760137160;0.170
47;2;984505001;0.171
47;3;488851578;0.172
48;0;865044121;0.173
48;1;969338364;0.174
48;2;724868017;0.175
48;3;231756781;0.176
49;0;327453829;0.177
49;1;616025714;0.178
49;2;333626374;0.179
49;3;462842728;0.180
50;0;130340113;0.181
50;1;452209999;0.182
50;2;819833082;0.183
50;3;47790651;0.184
