Part ID;Account ID;Balance;Credit limit
1;0;45992974;25663072.34
1;1;85456747;76614218.99
1;2;112715357;54370015.55
1;3;145635138;142550846.41
1;4;103253646;79188298.07
1;5;124694374;88804672.01
1;6;94924020;74610799.53
1;7;54612828;51006941.76
1;8;142606918;43033570.91
1;9;110524886;81337839.69
1;10;104698284;49001165.11
2;0;49338050;15424777.31
2;1;91762765;30010221.26
2;2;85087987;74688954.44
2;3;32196486;14765224.07
2;4;11292461;7105011.01
2;5;132833312;60676374.98
2;6;36344875;20466379.06
2;7;105846080;75560677.35
2;8;141984927;95669632.96
2;9;20666039;6724724.21
2;10;149864867;67716812.02
3;0;98103552;89447178.22
3;1;143557714;77246238.93
3;2;4480827;2987499.03
3;3;32845699;32316379.05
3;4;101669656;39126170.82
3;5;94404941;44426176.36
3;6;122168750;37386517.6
3;7;139195767;85576326.58
3;8;30049067;27119991.05
3;9;140439473;123742934.84
3;10;112981018;42297302.59
4;0;85420661;64265481.09
4;1;100762098;63589201.8
4;2;72454694;49967832.64
4;3;139021707;59005642.1
4;4;80027458;20167371.12
4;5;68506969;67333137.07
4;6;18569549;9900991.83
4;7;122413446;50852677.79
4;8;141871476;52675236.82
4;9;103601341;29627724.18
4;10;23673938;6062649.46
5;0;61804145;45085585.45
5;1;118495568;47322351.15
5;2;115118363;96401394.07
5;3;32911415;13452512.09
5;4;65683446;26527525.39
5;5;146268568;49027038.42
5;6;78414896;48131456.57
5;7;11684582;9338341.91
5;8;62716709;31227030.61
5;9;146214968;127206736.3
5;10;129970953;60765146.29
6;0;21559928;16357169.79
6;1;133348261;37058762.5
6;2;73607491;50225409.05
6;3;104432785;50173698.84
6;4;43425403;14269219.93
6;5;64252174;62079129.49
6;6;1345176;655814.21
6;7;106370735;38691577.78
6;8;63624250;23382268.33
6;9;60738906;29596448.39
6;10;118685281;87573857.23
7;0;121011659;92670086.22
7;1;26160930;26135617.71
7;2;15992855;4752629.28
7;3;113575521;30827605.14
7;4;35644781;11334764.12
7;5;52573898;16937119.63
7;6;39151265;16415726.51
7;7;126348455;33677918.52
7;8;14567074;13462963.33
7;9;34988517;17470714.73
7;10;53512170;17445207.96
8;0;31794211;18426463.6
8;1;128000221;93484159.41
8;2;95786203;63110709.94
8;3;95228086;73057509.88
8;4;542134;144885.53
8;5;18454832;9066771.4
8;6;118212495;51504964.93
8;7;85370560;66740049.68
8;8;67184796;25162404.66
8;9;55654890;43197142.71
8;10;54429430;50106075.44
9;0;31428389;31344476.45
9;1;144791938;93958845.82
9;2;12009000;11938180.32
9;3;8714142;8390353.41
9;4;33997555;13685157.16
9;5;83558794;41484394.14
9;6;148806581;55402848.87
9;7;112014743;108820435.12
9;8;34153674;28319910.94
9;9;128833156;35174812.53
9;10;130201319;40371326.96
10;0;110876587;84048053.39
10;1;33355840;12786253.44
10;2;80174706;30637393.59
10;3;10597335;4249419.88
10;4;136991198;36166647.25
10;5;63018779;36864635.05
10;6;6948291;6428009.98
10;7;129119057;40686477.98
10;8;132427579;35727126.84
10;9;5035950;1848443.58
10;10;129873183;96705893.18
11;0;81365344;22780714.83
11;1;8237843;2453279.43
11;2;24308337;10920987.52
11;3;126884175;101626049.31
11;4;105890042;87771251.51
11;5;23596888;7107664.62
11;6;54614052;42760971.2
11;7;126494292;89509003.83
11;8;115727709;103490402.95
11;9;75331402;43193820.78
11;10;36625975;28330440.78
12;0;77941080;28713685.09
12;1;18246598;5823711.96
12;2;54398636;51573224.36
12;3;89991305;77155689.49
12;4;62447128;26868501.31
12;5;13054672;11064559.7
12;6;110595636;107741621.6
12;7;142178;101912.37
12;8;106079429;80199654.58
12;9;110983883;99912956.37
12;10;40597312;32545489.54
13;0;126210572;66572280.25
13;1;111950137;31427076.81
13;2;12565192;8756346.47
13;3;87814271;66056241.55
13;4;132051482;114952883.22
13;5;3353650;1605258.82
13;6;98863568;59124430.31
13;7;45923725;23245887.6
13;8;70065174;27180782.44
13;9;108013129;27912976.34
13;10;84766994;58056597.8
14;0;48050123;43990704.69
14;1;43215058;16246273.52
14;2;17818909;16693695.5
14;3;80363505;80352575.52
14;4;132876860;97722893.74
14;5;5338803;3034883.41
14;6;42723231;23952832.87
14;7;147107762;41619255.44
14;8;134488563;59348474.73
14;9;8833609;2223654.2
14;10;82122932;61951832.66
15;0;52186102;18167686.05
15;1;130553221;38115255.57
15;2;17852512;15045692.15
15;3;119001015;35015674.1
15;4;18644966;14835349.54
15;5;72100351;28504615.41
15;6;19926882;18310497.39
15;7;90052525;55197450.2
15;8;15241515;4367480.12
15;9;61396843;39089503.6
15;10;63484223;56828864.13
16;0;60272989;51191107.9
16;1;44135872;17146172.94
16;2;49884750;16143982.74
16;3;109639921;47756434.91
16;4;35286386;22238640.54
16;5;133687332;61879575.48
16;6;94890407;76253180.73
16;7;71640316;48886438.94
16;8;86685833;59606852.45
16;9;92999889;54973332.26
16;10;126118530;43443476.62
17;0;127301587;57152783.28
17;1;140869413;65703672.19
17;2;134758835;51665392.87
17;3;130950951;33918358.53
17;4;65278596;36949348.45
17;5;13918798;7914020.57
17;6;126269983;123015563.84
17;7;88177420;26150956.62
17;8;1335933;1275602.79
17;9;9811468;9786412.92
17;10;22791911;17208317.71
18;0;40393457;37835734.04
18;1;118774406;61158780.16
18;2;49283027;27855226.27
18;3;73131223;36334830.98
18;4;59947356;25629298.92
18;5;135818137;102580623.46
18;6;19967567;9763460.33
18;7;20425103;6691769.22
18;8;44475876;23531244.53
18;9;65217835;56243828.4
18;10;46975543;41851196.45
19;0;25975499;7067584.44
19;1;102175535;39861163.09
19;2;44381301;42990648.45
19;3;115945165;39886887.76
19;4;122620181;63701058.79
19;5;71924919;28127491.34
19;6;106150567;68883884.09
19;7;101991800;31764684.01
19;8;115007070;33689377.39
