Part ID;Account ID;Balance;Credit limit
1;0;297737081;327059802
1;1;75577901;718530554
1;2;480529545;407179830
1;3;128918427;900702533
2;0;888942213;630346156
2;1;585535216;854928246
2;2;692374952;948531110
2;3;108992895;895802945
3;0;500020134;152342802
3;1;935119271;798237107
3;2;437714717;443686909
3;3;214338770;89449791
4;0;743372705;474266227
4;1;657415797;920159371
4;2;820412138;467046318
4;3;423221733;161212310
5;0;377851211;900222324
5;1;435417244;291852932
5;2;428453571;674655210
5;3;320132278;916752458
6;0;441900990;442798973
6;1;764049512;381272268
6;2;831797393;20363319
6;3;556903384;224146045
7;0;54823170;250188962
7;1;165671796;376532273
7;2;722261028;71459225
7;3;548576830;98564770
8;0;934230137;837857968
8;1;360589747;168825122
8;2;133332473;467916808
8;3;275890783;922498377
9;0;696373431;651893189
9;1;419830719;824328994
9;2;93464241;335090353
9;3;371388261;120585660
10;0;249889813;744169749
10;1;486455669;526367699
10;2;196936378;500685733
10;3;818335605;884185137
11;0;461935663;375282176
11;1;408160827;718315074
11;2;731413773;238017414
11;3;262593756;714419428
12;0;43457657;148181720
12;1;177644442;532200401
12;2;176019096;109850337
12;3;466456705;639755063
13;0;512368818;653148178
13;1;207464867;462018420
13;2;548020678;834609521
13;3;319926885;775436561
14;0;315832293;6604765
14;1;547253025;758585439
14;2;824170766;588060932
14;3;710521617;819653986
15;0;962654923;904365232
15;1;833960336;233543173
15;2;588410020;569776708
15;3;39243970;613360075
16;0;146216403;184008785
16;1;20991247;153112271
16;2;221613437;843077470
16;3;269683883;666222251
17;0;117255701;423355507
17;1;356397366;922860906
17;2;842057465;383967223
17;3;281379232;412318780
18;0;865207513;426751655
18;1;349994380;254286087
18;2;368346278;859319627
18;3;275656030;831901964
19;0;652315485;332900811
19;1;130416260;961677549
19;2;497778082;881644404
19;3;534603590;927980771
20;0;397867045;242952691
20;1;338838655;755461530
20;2;132101425;914273429
20;3;322843151;695386660
21;0;738439801;428718493
21;1;725718910;333619983
21;2;246258392;351642627
21;3;311865220;70173654
22;0;466395716;470694383
22;1;727346915;426538741
22;2;450551651;967579141
22;3;394357778;83963029
23;0;59418559;429482072
23;1;433276794;328239759
23;2;174791337;118572762
23;3;418051544;532101081
24;0;258855027;799495081
24;1;306825253;900827837
24;2;472036076;545470328
24;3;828715769;218410328
25;0;854196125;119248352
25;1;467678344;26427212
25;2;811295562;373931999
25;3;603897502;484012382
26;0;237747779;196802110
26;1;602259457;25664358
26;2;382236218;598425165
26;3;189560186;599166658
27;0;868469057;339584001
27;1;43556817;795128523
27;2;140615930;466065234
27;3;457020563;408749705
28;0;625543843;208708991
28;1;234442730;163290748
28;2;441861449;253799966
28;3;672672884;500919390
29;0;696336939;601640648
29;1;436226354;186912737
29;2;362634991;703654661
29;3;488282511;23146193
30;0;242152880;748366564
30;1;173099950;244981832
30;2;880957131;724222738
30;3;43129664;519149033
31;0;36662080;991666012
31;1;295710030;405574364
31;2;329956004;337999283
31;3;599066616;841871555
32;0;211551672;636321763
32;1;929564375;369744543
32;2;708535588;455494149
32;3;182194934;737144760
33;0;139827336;118109015
33;1;286868779;321743795
33;2;335257711;18928757
33;3;268979541;274263816
34;0;767512967;773118304
34;1;186518531;747859253
34;2;752072189;436928913
34;3;247714511;167329966
35;0;752411178;296599180
35;1;720128469;506455438
35;2;652131266;788855847
35;3;394539288;948433735
36;0;627876716;173096938
36;1;26073428;575884705
36;2;227276707;40517122
36;3;655708362;429029907
37;0;506398025;480535005
37;1;13322861;957735872
37;2;160746731;617893695
37;3;482667869;217463552
38;0;553252743;559435415
38;1;208613727;99148544
38;2;404474757;483422275
38;3;52203307;963072371
39;0;675163048;406022283
39;1;661268532;473975916
39;2;631070987;572919933
39;3;333710488;779148644
40;0;325384823;88466931
40;1;101247921;695205207
40;2;214995186;270251075
40;3;966414200;764039459
41;0;614310702;212589245
41;1;964169813;572561052
41;2;309510497;812013585
41;3;924362806;321031336
42;0;381529621;500382394
42;1;212312451;374911981
42;2;932423445;330630951
42;3;993147387;902886807
43;0;102022262;925909387
43;1;238614689;647894336
43;2;766763963;287107295
43;3;257863014;973434137
44;0;187121035;625496257
44;1;841966355;657563057
44;2;767170881;96871625
44;3;5729324;383156217
45;0;35823629;266893381
45;1;288646007;821528345
45;2;413456535;616616348
45;3;540318727;575845367
46;0;737456419;738457763
46;1;234247695;11210996
46;2;367271712;229654394
46;3;489934241;555172314
47;0;532684378;706844254
47;1;399128941;225834489
47;2;300163159;340909144
47;3;742554695;145074549
48;0;597616324;358724742
48;1;202576599;216605820
48;2;353902062;813795394
48;3;823976760;430440758
49;0;474043813;935504203
49;1;310673448;163228961
49;2;594751323;286038408
49;3;479012855;802730826
50;0;813365986;107487148
50;1;373583126;279136921
50;2;876079809;807368907
50;3;618841508;109787378
