Part ID;Account ID;Balance;Credit limit
1;0;22631611;82617483
1;1;110899528;111802999
1;2;65829450;124733252
1;3;67297931;84784652
2;0;90046155;117426363
2;1;22944664;146287464
2;2;130702024;141991443
2;3;143171699;46478321
3;0;120570437;23051385
3;1;25401463;61758850
3;2;128290123;117349408
3;3;28382401;57671406
4;0;18445214;14575229
4;1;74370189;29473125
4;2;23742688;93371851
4;3;116866169;80048485
5;0;90056871;39720905
5;1;51296752;108258053
5;2;132645357;8982862
5;3;30222837;80679274
6;0;140255877;954987
6;1;94948203;72014147
6;2;34324088;116360028
6;3;80384481;9183260
7;0;99807207;113468761
7;1;11801115;82603789
7;2;54931817;62537921
7;3;95913166;52726038
8;0;8779325;67768306
8;1;120166626;77828018
8;2;56212801;102854092
8;3;128492417;64112608
9;0;3838653;73212890
9;1;46525398;76266757
9;2;49409326;82698953
9;3;125544410;68083986
10;0;51047729;82604658
10;1;126140537;101864046
10;2;9079226;52352182
10;3;5284858;121458367
11;0;74324409;64067091
11;1;110610782;29543574
11;2;41640450;69680109
11;3;13663057;54571410
12;0;28950753;103301616
12;1;13949092;88589337
12;2;1359973;37979808
12;3;39835152;68551891
13;0;8761535;95425031
13;1;19228629;119724625
13;2;61306178;3639719
13;3;15203367;48406340
14;0;88347697;106432699
14;1;126152437;90233060
14;2;12530657;76023784
14;3;142154948;5513505
15;0;124854700;26239514
15;1;50579328;55295654
15;2;56579472;134722783
15;3;96178468;41493204
