Part ID;Account ID;Balance;Credit limit
1;0;133394399;104043799
1;1;115005474;29419419
1;2;87209352;51252753
1;3;482566;119620796
2;0;125359106;55156269
2;1;68348046;148818671
2;2;66981232;148583030
2;3;45090662;11195019
3;0;43958477;95669901
3;1;70659108;36776673
3;2;35398433;44546200
3;3;145926370;104738897
4;0;30103713;34521546
4;1;60174190;85138042
4;2;135133711;54411247
4;3;66014275;28659904
5;0;115832692;99455636
5;1;71590882;54190854
5;2;21452665;101982577
5;3;64010389;6779695
6;0;131205927;31324457
6;1;63701329;9586192
6;2;97060195;135623869
6;3;110201036;80781560
7;0;101052298;115045595
7;1;4857621;20896511
7;2;121007859;117327380
7;3;60703433;121387963
8;0;137954143;7462448
8;1;15377439;58554656
8;2;42108258;34690022
8;3;4922083;66272098
9;0;103521520;90273611
9;1;82539799;3128751
9;2;64721952;120172825
9;3;86924357;27842832
10;0;79516745;17430662
10;1;54128639;60926536
10;2;106933838;77668169
10;3;26195521;134500211
11;0;47801204;60462180
11;1;69812895;73674803
11;2;39116787;52068406
11;3;108169645;12928110
12;0;86563054;21549990
12;1;72712082;63575313
12;2;82193966;70928327
12;3;107643036;131061301
13;0;106441858;5197706
13;1;70331056;89392578
13;2;93574649;97919693
13;3;122555908;138443286
14;0;142836717;134779742
14;1;68837069;57724663
14;2;107428735;149759956
14;3;121052147;24317790
15;0;24891575;2325590
15;1;57647832;133012141
15;2;23785418;83353440
15;3;89888870;39395763
16;0;66915163;149729638
16;1;145884627;141609815
16;2;2220517;58517545
16;3;99227571;53624786
17;0;51922668;26204942
17;1;114904181;136610218
17;2;37487637;2215640
17;3;37217087;51288791
18;0;34138885;104418045
18;1;66914183;45400134
18;2;76547405;133575704
18;3;100365391;125745345
19;0;6699304;125643236
19;1;82467976;114748681
19;2;114564428;54519339
19;3;69029936;137558006
20;0;77463144;11171642
20;1;102328018;17351422
20;2;103116891;115622373
20;3;63205686;135442489
21;0;124545545;148017305
21;1;116251394;146771900
21;2;86247494;99780703
21;3;18425948;27501766
22;0;12674680;80533720
22;1;77791296;134163650
22;2;56098149;20421019
22;3;95971133;132884267
23;0;118394222;101237562
23;1;53092216;71494154
23;2;8848050;62788284
23;3;36887175;1502942
24;0;45457330;128894280
24;1;31610806;67438905
24;2;81807662;31679152
24;3;37052836;101576502
25;0;45903056;141071916
25;1;82026666;148977271
25;2;91691231;104004004
25;3;80291556;35159204
