Part ID;Account ID;Balance;Credit limit
1;0;372924833;892530031
1;1;94148949;574608783
1;2;456826876;715492714
1;3;67952402;548534008
2;0;173560998;437051307
2;1;314176059;133836102
2;2;396859221;188921285
2;3;137579105;812086240
3;0;583582517;673721138
3;1;515931392;167253716
3;2;140186648;233588037
3;3;789868436;345630734
4;0;524645157;211936666
4;1;158257193;576627530
4;2;752577453;341084437
4;3;994963669;481160178
5;0;75614406;669552746
5;1;21644841;862582141
5;2;475218435;558043428
5;3;130022895;280368653
