TID;Day;Time;Value;FromParticipantId;FromAccountId;ToParticipantId;ToAccountId;Linkcode
101;1;452;84801970;32;2;34;2;1
102;1;452;84801970;34;0;32;0;1
103;1;452;25708763;49;2;46;2;2
104;1;452;25708763;46;0;49;0;2
105;1;452;76218477;25;1;49;1;3
106;1;452;76218477;49;0;25;0;3
107;1;452;47147392;26;2;21;2;4
108;1;452;47147392;21;0;26;0;4
109;1;452;10255806;20;2;44;2;5
110;1;452;10255806;44;0;20;0;5
111;1;452;79395667;50;3;8;3;6
112;1;452;79395667;8;0;50;0;6
113;1;452;2608774;45;2;18;2;7
114;1;452;2608774;18;0;45;0;7
115;1;452;48635471;13;3;50;3;8
116;1;452;48635471;50;0;13;0;8
117;1;452;93030451;41;2;21;2;9
118;1;452;93030451;21;0;41;0;9
119;1;452;23803529;47;3;44;3;10
120;1;452;23803529;44;0;47;0;10
121;1;452;69709689;36;2;33;2;11
122;1;452;69709689;33;0;36;0;11
123;1;452;1688771;41;3;34;3;12
124;1;452;1688771;34;0;41;0;12
125;1;23;70438267;34;2;13;2;13
126;1;23;70438267;13;0;34;0;13
127;1;23;10349677;7;2;32;2;14
128;1;23;10349677;32;0;7;0;14
129;1;23;86094125;13;3;25;3;15
130;1;23;86094125;25;0;13;0;15
131;1;23;55063041;19;1;42;1;16
132;1;23;55063041;42;0;19;0;16
133;1;23;94969970;15;2;47;2;17
134;1;23;94969970;47;0;15;0;17
135;1;23;18053528;44;2;14;2;18
136;1;23;18053528;14;0;44;0;18
137;1;23;13237011;32;3;21;3;19
138;1;23;13237011;21;0;32;0;19
139;1;23;23260832;18;1;3;1;20
140;1;23;23260832;3;0;18;0;20
141;1;23;31360413;23;2;4;2;21
142;1;23;31360413;4;0;23;0;21
143;1;23;43685481;46;3;26;3;22
144;1;23;43685481;26;0;46;0;22
145;1;23;29164923;19;3;41;3;23
146;1;23;29164923;41;0;19;0;23
147;1;23;29147465;46;2;2;2;24
148;1;23;29147465;2;0;46;0;24
149;1;23;39653862;31;1;14;1;25
150;1;23;39653862;14;0;31;0;25
151;1;23;67380637;27;3;15;3;26
152;1;23;67380637;15;0;27;0;26
153;1;23;52949362;38;2;12;2;27
154;1;23;52949362;12;0;38;0;27
155;1;23;8159841;17;2;31;2;28
156;1;23;8159841;31;0;17;0;28
157;1;23;3380020;17;2;3;2;29
158;1;23;3380020;3;0;17;0;29
159;1;23;25529683;41;1;38;1;30
160;1;23;25529683;38;0;41;0;30
161;1;23;97263017;13;3;18;3;31
162;1;23;97263017;18;0;13;0;31
163;1;23;79018803;18;2;24;2;32
164;1;23;79018803;24;0;18;0;32
165;1;23;6195137;27;2;35;2;33
166;1;23;6195137;35;0;27;0;33
167;1;23;44867758;34;1;33;1;34
168;1;23;44867758;33;0;34;0;34
169;1;23;73984615;29;2;43;2;35
170;1;23;73984615;43;0;29;0;35
171;1;23;10702427;19;1;7;1;36
172;1;23;10702427;7;0;19;0;36
173;1;23;36983876;5;2;17;2;37
174;1;23;36983876;17;0;5;0;37
175;1;23;8743080;28;2;13;2;38
176;1;23;8743080;13;0;28;0;38
177;1;23;71391385;14;3;28;3;39
178;1;23;71391385;28;0;14;0;39
179;1;23;95625390;47;2;14;2;40
180;1;23;95625390;14;0;47;0;40
181;1;23;54587927;22;1;21;1;41
182;1;23;54587927;21;0;22;0;41
