TID;Day;Time;Value;FromParticipantId;FromAccountId;ToParticipantId;ToAccountId;Linkcode
101;1;898;90357472;17;2;48;2;1
102;1;811;90357472;48;0;17;0;1
103;1;1023;56015928;24;3;8;3;2
104;1;1040;56015928;8;0;24;0;2
105;1;1409;36155279;34;2;21;2;3
106;1;445;36155279;21;0;34;0;3
107;1;1176;87159259;33;1;14;1;4
108;1;583;87159259;14;0;33;0;4
109;1;906;47540800;17;3;30;3;5
110;1;5;47540800;30;0;17;0;5
111;1;71;74816166;32;3;25;3;6
112;1;1138;74816166;25;0;32;0;6
113;1;74;57085311;42;2;32;2;7
114;1;597;57085311;32;0;42;0;7
115;1;791;48007343;47;3;44;3;8
116;1;601;48007343;44;0;47;0;8
117;1;1339;5284140;36;1;2;1;9
118;1;1352;5284140;2;0;36;0;9
119;1;816;43394917;22;2;40;2;10
120;1;546;43394917;40;0;22;0;10
121;1;934;62455536;5;1;24;1;11
122;1;411;62455536;24;0;5;0;11
123;1;1085;9088840;7;2;42;2;12
124;1;1078;9088840;42;0;7;0;12
125;1;152;29766698;47;2;23;2;13
126;1;284;29766698;23;0;47;0;13
127;1;982;60470905;30;3;25;3;14
128;1;778;60470905;25;0;30;0;14
129;1;809;27025217;5;3;8;3;15
130;1;816;27025217;8;0;5;0;15
131;1;721;50081811;2;2;39;2;16
132;1;455;50081811;39;0;2;0;16
133;1;494;34736391;36;3;15;3;17
134;1;259;34736391;15;0;36;0;17
135;1;863;96475101;32;1;34;1;18
136;1;1282;96475101;34;0;32;0;18
137;1;32;55156646;25;1;32;1;19
138;1;963;55156646;32;0;25;0;19
139;1;1196;28364323;9;2;1;2;20
140;1;724;28364323;1;0;9;0;20
141;1;852;21715013;36;2;4;2;21
142;1;1341;21715013;4;0;36;0;21
143;1;428;1545760;16;2;26;2;22
144;1;74;1545760;26;0;16;0;22
145;1;1225;35282110;6;3;20;3;23
146;1;1140;35282110;20;0;6;0;23
147;1;463;3316963;27;1;50;1;24
148;1;302;3316963;50;0;27;0;24
149;1;518;60132193;7;3;10;3;25
150;1;1239;60132193;10;0;7;0;25
151;1;798;56783373;3;3;40;3;26
152;1;1050;56783373;40;0;3;0;26
153;1;1329;96517268;27;2;42;2;27
154;1;718;96517268;42;0;27;0;27
155;1;445;92946060;33;3;38;3;28
156;1;1334;92946060;38;0;33;0;28
157;1;1103;83777030;35;3;33;3;29
158;1;836;83777030;33;0;35;0;29
159;1;509;57521093;47;1;8;1;30
160;1;1033;57521093;8;0;47;0;30
161;1;672;97396762;9;1;49;1;31
162;1;671;97396762;49;0;9;0;31
163;1;820;64701024;26;3;14;3;32
164;1;713;64701024;14;0;26;0;32
165;1;956;60328381;15;2;10;2;33
166;1;645;60328381;10;0;15;0;33
167;1;635;74488263;44;3;31;3;34
168;1;905;74488263;31;0;44;0;34
169;1;483;48535292;22;2;28;2;35
170;1;809;48535292;28;0;22;0;35
171;1;951;74726842;19;2;27;2;36
172;1;675;74726842;27;0;19;0;36
173;1;1326;27206436;21;1;2;1;37
174;1;1003;27206436;2;0;21;0;37
175;1;296;50370198;17;3;43;3;38
176;1;1200;50370198;43;0;17;0;38
177;1;166;50259502;1;3;22;3;39
178;1;1253;50259502;22;0;1;0;39
179;1;1235;30109259;19;1;22;1;40
180;1;1427;30109259;22;0;19;0;40
181;1;1397;61144358;48;3;35;3;41
182;1;1027;61144358;35;0;48;0;41
183;1;1022;28856042;8;3;14;3;42
184;1;436;28856042;14;0;8;0;42
185;1;1210;53480228;47;3;9;3;43
186;1;832;53480228;9;0;47;0;43
187;1;971;97341434;27;3;39;3;44
188;1;222;97341434;39;0;27;0;44
189;1;463;21189414;23;1;4;1;45
190;1;751;21189414;4;0;23;0;45
191;1;1368;70280306;3;1;1;1;46
192;1;464;70280306;1;0;3;0;46
193;1;1332;99937934;28;1;16;1;47
194;1;728;99937934;16;0;28;0;47
195;1;1050;36768043;43;3;21;3;48
196;1;1221;36768043;21;0;43;0;48
197;1;425;34745215;22;3;49;3;49
198;1;1098;34745215;49;0;22;0;49
199;1;427;66995424;41;2;2;2;50
200;1;963;66995424;2;0;41;0;50
201;1;1102;59901592;17;2;19;2;51
202;1;644;59901592;19;0;17;0;51
203;1;1393;50129821;46;1;7;1;52
204;1;383;50129821;7;0;46;0;52
205;1;896;30313140;43;2;20;2;53
206;1;158;30313140;20;0;43;0;53
207;1;957;98844083;26;1;41;1;54
208;1;594;98844083;41;0;26;0;54
209;1;700;82612601;36;3;47;3;55
210;1;411;82612601;47;0;36;0;55
211;1;239;18501303;4;3;12;3;56
212;1;740;18501303;12;0;4;0;56
213;1;1391;33834778;45;1;31;1;57
214;1;1181;33834778;31;0;45;0;57
215;1;624;76493693;31;3;14;3;58
216;1;1113;76493693;14;0;31;0;58
217;1;169;9333265;2;3;28;3;59
218;1;745;9333265;28;0;2;0;59
219;1;528;52159405;19;3;18;3;60
220;1;1214;52159405;18;0;19;0;60
221;1;319;61493463;28;1;27;1;61
222;1;234;61493463;27;0;28;0;61
223;1;1320;14830602;48;2;36;2;62
224;1;543;14830602;36;0;48;0;62
225;1;469;19671515;45;2;42;2;63
226;1;964;19671515;42;0;45;0;63
227;1;705;10619623;26;3;38;3;64
228;1;1361;10619623;38;0;26;0;64
229;1;986;19652390;25;3;7;3;65
230;1;204;19652390;7;0;25;0;65
231;1;785;58947131;47;2;16;2;66
232;1;615;58947131;16;0;47;0;66
233;1;640;67110122;27;1;42;1;67
234;1;995;67110122;42;0;27;0;67
235;1;1187;58032113;43;3;32;3;68
236;1;1041;58032113;32;0;43;0;68
237;1;606;51536346;7;2;42;2;69
238;1;484;51536346;42;0;7;0;69
239;1;522;58360609;36;2;37;2;70
240;1;196;58360609;37;0;36;0;70
241;1;54;29919998;33;1;31;1;71
242;1;1256;29919998;31;0;33;0;71
243;1;891;87076142;24;2;11;2;72
244;1;1244;87076142;11;0;24;0;72
245;1;785;98993018;22;2;9;2;73
246;1;874;98993018;9;0;22;0;73
247;1;1242;86285553;18;1;10;1;74
248;1;605;86285553;10;0;18;0;74
249;1;1299;43687589;20;2;1;2;75
250;1;1092;43687589;1;0;20;0;75
251;1;1198;4878258;50;1;21;1;76
252;1;403;4878258;21;0;50;0;76
253;1;965;15368711;46;3;11;3;77
254;1;1011;15368711;11;0;46;0;77
255;1;148;32510879;19;2;10;2;78
256;1;474;32510879;10;0;19;0;78
257;1;1133;69847887;1;1;12;1;79
258;1;666;69847887;12;0;1;0;79
259;1;1045;4573278;31;2;9;2;80
260;1;920;4573278;9;0;31;0;80
261;1;1160;17268956;49;1;23;1;81
262;1;775;17268956;23;0;49;0;81
263;1;140;51338390;8;2;18;2;82
264;1;1235;51338390;18;0;8;0;82
265;1;331;59651412;29;3;30;3;83
266;1;149;59651412;30;0;29;0;83
267;1;924;18685427;4;1;11;1;84
268;1;773;18685427;11;0;4;0;84
269;1;857;39539457;4;3;39;3;85
270;1;519;39539457;39;0;4;0;85
271;1;367;56074933;29;3;41;3;86
272;1;868;56074933;41;0;29;0;86
273;1;181;56355412;34;2;39;2;87
274;1;100;56355412;39;0;34;0;87
275;1;1276;9426025;15;2;31;2;88
276;1;901;9426025;31;0;15;0;88
277;1;380;47451413;11;1;49;1;89
278;1;806;47451413;49;0;11;0;89
279;1;682;50291782;32;1;8;1;90
280;1;1405;50291782;8;0;32;0;90
281;1;17;32796028;47;2;19;2;91
282;1;626;32796028;19;0;47;0;91
283;1;776;7259938;47;1;25;1;92
284;1;833;7259938;25;0;47;0;92
285;1;1102;49636693;25;1;10;1;93
286;1;1240;49636693;10;0;25;0;93
287;1;712;47283490;6;2;42;2;94
288;1;950;47283490;42;0;6;0;94
289;1;1072;24348555;5;1;31;1;95
290;1;926;24348555;31;0;5;0;95
291;1;986;46190377;18;2;19;2;96
292;1;367;46190377;19;0;18;0;96
293;1;653;12618087;34;3;13;3;97
294;1;476;12618087;13;0;34;0;97
295;1;1169;43866044;15;3;39;3;98
296;1;304;43866044;39;0;15;0;98
297;1;772;37526153;5;1;38;1;99
298;1;1228;37526153;38;0;5;0;99
299;1;748;26409910;22;3;1;3;100
300;1;1160;26409910;1;0;22;0;100
301;1;723;25851071;11;3;26;3;101
302;1;318;25851071;26;0;11;0;101
303;1;24;44490502;11;3;3;3;102
304;1;74;44490502;3;0;11;0;102
305;1;1212;51539921;5;2;31;2;103
306;1;383;51539921;31;0;5;0;103
307;1;459;93979571;17;1;44;1;104
