TID;Day;Time;Value;FromParticipantId;FromAccountId;ToParticipantId;ToAccountId;Linkcode
101;1;1259;99631977;9;1;1;1;1
102;1;1210;99631977;1;0;9;0;1
103;1;1127;19606750;12;1;1;1;2
104;1;1324;19606750;1;0;12;0;2
105;1;169;94255144;11;1;24;1;3
106;1;809;94255144;24;0;11;0;3
107;1;945;72376159;2;3;14;3;4
108;1;1080;72376159;14;0;2;0;4
109;1;25;71334517;3;1;25;1;5
110;1;176;71334517;25;0;3;0;5
111;1;1382;58502456;6;2;5;2;6
112;1;1083;58502456;5;0;6;0;6
113;1;512;91182948;14;3;18;3;7
114;1;581;91182948;18;0;14;0;7
115;1;1143;24252868;3;2;8;2;8
116;1;1337;24252868;8;0;3;0;8
117;1;430;98764875;5;3;25;3;9
118;1;124;98764875;25;0;5;0;9
119;1;771;71166064;6;1;8;1;10
120;1;449;71166064;8;0;6;0;10
121;1;1211;72114412;14;1;16;1;11
122;1;339;72114412;16;0;14;0;11
123;1;1168;72274841;25;2;11;2;12
124;1;426;72274841;11;0;25;0;12
125;1;715;13755738;24;1;20;1;13
126;1;991;13755738;20;0;24;0;13
127;1;785;5581275;19;2;7;2;14
128;1;571;5581275;7;0;19;0;14
129;1;106;6842962;11;1;17;1;15
130;1;745;6842962;17;0;11;0;15
131;1;341;30467582;23;3;10;3;16
132;1;345;30467582;10;0;23;0;16
133;1;971;91272276;2;2;4;2;17
134;1;567;91272276;4;0;2;0;17
135;1;298;15637855;18;1;10;1;18
136;1;489;15637855;10;0;18;0;18
137;1;210;39387852;1;3;21;3;19
138;1;476;39387852;21;0;1;0;19
139;1;237;55241027;25;1;22;1;20
140;1;267;55241027;22;0;25;0;20
141;1;1397;56461333;23;3;20;3;21
142;1;1193;56461333;20;0;23;0;21
143;1;607;85801772;11;1;17;1;22
144;1;1022;85801772;17;0;11;0;22
145;1;1189;83067028;15;1;22;1;23
146;1;1108;83067028;22;0;15;0;23
147;1;995;86720002;15;2;17;2;24
148;1;295;86720002;17;0;15;0;24
149;1;415;50454473;3;1;18;1;25
150;1;736;50454473;18;0;3;0;25
151;1;992;62518964;18;3;14;3;26
152;1;693;62518964;14;0;18;0;26
153;1;1383;30070070;14;3;12;3;27
154;1;781;30070070;12;0;14;0;27
155;1;215;13282063;6;1;24;1;28
156;1;1265;13282063;24;0;6;0;28
157;1;1402;18707350;17;3;4;3;29
158;1;718;18707350;4;0;17;0;29
159;1;178;96195681;7;3;14;3;30
160;1;65;96195681;14;0;7;0;30
161;1;559;10382189;16;3;22;3;31
162;1;268;10382189;22;0;16;0;31
163;1;493;39998468;14;1;22;1;32
164;1;506;39998468;22;0;14;0;32
165;1;1240;46766643;19;2;8;2;33
166;1;1209;46766643;8;0;19;0;33
167;1;397;14014033;24;2;9;2;34
168;1;1213;14014033;9;0;24;0;34
169;1;584;33035948;17;2;18;2;35
170;1;1155;33035948;18;0;17;0;35
171;1;589;63049818;19;1;16;1;36
172;1;250;63049818;16;0;19;0;36
173;1;485;30536698;5;2;2;2;37
174;1;818;30536698;2;0;5;0;37
175;1;1238;96755801;19;2;7;2;38
176;1;1124;96755801;7;0;19;0;38
177;1;508;60092383;2;2;21;2;39
178;1;594;60092383;21;0;2;0;39
179;1;514;75996238;5;1;3;1;40
180;1;145;75996238;3;0;5;0;40
181;1;801;34320334;11;2;20;2;41
182;1;462;34320334;20;0;11;0;41
183;1;951;2204017;14;2;3;2;42
184;1;189;2204017;3;0;14;0;42
185;1;489;29492232;22;1;25;1;43
186;1;1390;29492232;25;0;22;0;43
187;1;261;56187577;18;2;17;2;44
188;1;696;56187577;17;0;18;0;44
189;1;1027;68722938;6;2;12;2;45
190;1;383;68722938;12;0;6;0;45
191;1;412;35967747;15;3;20;3;46
