TID;Time;Activity
362;00:00;Added to queue 1
1094;00:00;Added to queue 1
2503;00:00;Added to queue 1
2721;00:00;Added to queue 1
664;00:02;Added to queue 1
2914;00:03;Added to queue 1
291;00:04;Added to queue 1
1270;00:04;Added to queue 1
884;00:05;Added to queue 1
1566;00:05;Added to queue 1
1662;00:05;Added to queue 1
1859;00:05;Added to queue 1
258;00:07;Added to queue 1
1421;00:08;Added to queue 1
1127;00:09;Added to queue 1
1781;00:09;Added to queue 1
2896;00:09;Added to queue 1
2172;00:10;Added to queue 1
2292;00:10;Added to queue 1
897;00:11;Added to queue 1
414;00:12;Added to queue 1
1019;00:12;Added to queue 1
1103;00:12;Added to queue 1
2181;00:12;Added to queue 1
1114;00:15;Added to queue 1
1773;00:15;Added to queue 1
2136;00:15;Added to queue 1
2572;00:15;Added to queue 1
159;00:16;Added to queue 1
2515;00:16;Added to queue 1
1343;00:17;Added to queue 1
695;00:18;Added to queue 1
1060;00:18;Added to queue 1
1552;00:18;Added to queue 1
1911;00:18;Added to queue 1
352;00:20;Added to queue 1
719;00:20;Added to queue 1
2747;00:20;Added to queue 1
651;00:21;Added to queue 1
977;00:21;Added to queue 1
1218;00:22;Added to queue 1
2333;00:22;Added to queue 1
2843;00:23;Added to queue 1
418;00:24;Added to queue 1
2610;00:24;Added to queue 1
2751;00:24;Added to queue 1
645;00:25;Added to queue 1
475;00:26;Added to queue 1
644;00:26;Added to queue 1
899;00:26;Added to queue 1
1056;00:27;Added to queue 1
1836;00:28;Added to queue 1
2029;00:28;Added to queue 1
2182;00:28;Added to queue 1
406;00:29;Added to queue 1
573;00:30;Added to queue 1
2851;00:30;Added to queue 1
548;00:32;Added to queue 1
677;00:32;Added to queue 1
1040;00:32;Added to queue 1
1167;00:32;Added to queue 1
1989;00:32;Added to queue 1
1512;00:33;Added to queue 1
2165;00:33;Added to queue 1
113;00:34;Added to queue 1
480;00:34;Added to queue 1
1253;00:34;Added to queue 1
476;00:35;Added to queue 1
661;00:35;Added to queue 1
2237;00:35;Added to queue 1
2507;00:36;Added to queue 1
2201;00:37;Added to queue 1
618;00:38;Added to queue 1
1188;00:38;Added to queue 1
2215;00:38;Added to queue 1
873;00:39;Added to queue 1
2956;00:39;Added to queue 1
629;00:40;Added to queue 1
1955;00:41;Added to queue 1
1798;00:43;Added to queue 1
699;00:44;Added to queue 1
2315;00:44;Added to queue 1
323;00:45;Added to queue 1
482;00:45;Added to queue 1
1494;00:45;Added to queue 1
1063;00:46;Added to queue 1
1847;00:46;Added to queue 1
2602;00:46;Added to queue 1
1325;00:47;Added to queue 1
836;00:48;Added to queue 1
1314;00:49;Added to queue 1
586;00:50;Added to queue 1
1214;00:50;Added to queue 1
1551;00:50;Added to queue 1
784;00:51;Added to queue 1
1341;00:51;Added to queue 1
1820;00:51;Added to queue 1
654;00:52;Added to queue 1
1276;00:52;Added to queue 1
1963;00:52;Added to queue 1
2328;00:52;Added to queue 1
1702;00:53;Added to queue 1
1152;00:54;Added to queue 1
2847;00:54;Added to queue 1
491;00:55;Added to queue 1
1438;00:55;Added to queue 1
1653;00:55;Added to queue 1
1854;00:55;Added to queue 1
2043;00:55;Added to queue 1
2116;00:55;Added to queue 1
1604;00:56;Added to queue 1
3042;00:56;Added to queue 1
658;00:57;Added to queue 1
472;00:58;Added to queue 1
2278;00:58;Added to queue 1
2922;00:58;Added to queue 1
1130;00:59;Added to queue 1
1804;00:59;Added to queue 1
1866;00:59;Added to queue 1
2330;00:59;Added to queue 1
448;01:00;Added to queue 1
858;01:00;Added to queue 1
276;01:01;Added to queue 1
650;01:01;Added to queue 1
1909;01:01;Added to queue 1
2302;01:01;Added to queue 1
742;01:02;Added to queue 1
1828;01:02;Added to queue 1
2262;01:04;Added to queue 1
2372;01:04;Added to queue 1
861;01:05;Added to queue 1
219;01:06;Added to queue 1
216;01:07;Added to queue 1
288;01:07;Added to queue 1
734;01:07;Added to queue 1
2501;01:07;Added to queue 1
341;01:08;Added to queue 1
394;01:08;Added to queue 1
1216;01:08;Added to queue 1
2769;01:08;Added to queue 1
3010;01:08;Added to queue 1
3071;01:08;Added to queue 1
937;01:09;Added to queue 1
3005;01:09;Added to queue 1
558;01:10;Added to queue 1
841;01:10;Added to queue 1
1673;01:10;Added to queue 1
2555;01:10;Added to queue 1
2998;01:10;Added to queue 1
286;01:11;Added to queue 1
1208;01:11;Added to queue 1
1777;01:11;Added to queue 1
545;01:12;Added to queue 1
1297;01:12;Added to queue 1
2776;01:12;Added to queue 1
990;01:14;Added to queue 1
2570;01:14;Added to queue 1
158;01:15;Added to queue 1
1772;01:15;Added to queue 1
1155;01:16;Added to queue 1
2970;01:16;Added to queue 1
2152;01:17;Added to queue 1
2537;01:18;Added to queue 1
2815;01:18;Added to queue 1
2609;01:19;Added to queue 1
1246;01:20;Added to queue 1
1875;01:21;Added to queue 1
1977;01:21;Added to queue 1
1999;01:21;Added to queue 1
2546;01:21;Added to queue 1
2855;01:21;Added to queue 1
556;01:22;Added to queue 1
747;01:22;Added to queue 1
826;01:22;Added to queue 1
2556;01:22;Added to queue 1
1240;01:23;Added to queue 1
1951;01:23;Added to queue 1
1699;01:24;Added to queue 1
2604;01:24;Added to queue 1
908;01:25;Added to queue 1
1105;01:25;Added to queue 1
2040;01:25;Added to queue 1
295;01:26;Added to queue 1
732;01:27;Added to queue 1
1795;01:27;Added to queue 1
1918;01:27;Added to queue 1
504;01:29;Added to queue 1
2659;01:29;Added to queue 1
714;01:30;Added to queue 1
118;01:31;Added to queue 1
740;01:31;Added to queue 1
1688;01:31;Added to queue 1
1946;01:31;Added to queue 1
2658;01:31;Added to queue 1
702;01:32;Added to queue 1
1706;01:32;Added to queue 1
1263;01:33;Added to queue 1
1845;01:33;Added to queue 1
2142;01:33;Added to queue 1
2264;01:33;Added to queue 1
2390;01:33;Added to queue 1
2240;01:35;Added to queue 1
2660;01:35;Added to queue 1
2890;01:35;Added to queue 1
1855;01:36;Added to queue 1
674;01:37;Added to queue 1
2033;01:37;Added to queue 1
2752;01:37;Added to queue 1
444;01:38;Added to queue 1
1096;01:38;Added to queue 1
2320;01:38;Added to queue 1
574;01:39;Added to queue 1
877;01:39;Added to queue 1
2112;01:39;Added to queue 1
2234;01:39;Added to queue 1
382;01:40;Added to queue 1
1589;01:40;Added to queue 1
318;01:41;Added to queue 1
1681;01:41;Added to queue 1
3007;01:42;Added to queue 1
1528;01:43;Added to queue 1
1876;01:43;Added to queue 1
1132;01:44;Added to queue 1
2099;01:44;Added to queue 1
117;01:45;Added to queue 1
737;01:45;Added to queue 1
2967;01:45;Added to queue 1
1171;01:46;Added to queue 1
2921;01:46;Added to queue 1
991;01:47;Added to queue 1
1731;01:47;Added to queue 1
133;01:48;Added to queue 1
2742;01:48;Added to queue 1
1759;01:49;Added to queue 1
1958;01:49;Added to queue 1
1913;01:50;Added to queue 1
2940;01:51;Added to queue 1
3022;01:51;Added to queue 1
3069;01:51;Added to queue 1
1843;01:52;Added to queue 1
2365;01:52;Added to queue 1
721;01:53;Added to queue 1
2171;01:53;Added to queue 1
308;01:54;Added to queue 1
919;01:54;Added to queue 1
2986;01:54;Added to queue 1
1348;01:55;Added to queue 1
157;01:56;Added to queue 1
384;01:56;Added to queue 1
1136;01:57;Added to queue 1
607;01:58;Added to queue 1
900;01:58;Added to queue 1
1813;01:58;Added to queue 1
865;01:59;Added to queue 1
2045;01:59;Added to queue 1
578;02:00;Added to queue 1
1716;02:01;Added to queue 1
1221;02:02;Added to queue 1
361;02:03;Added to queue 1
2997;02:03;Added to queue 1
234;02:04;Added to queue 1
3062;02:04;Added to queue 1
312;02:05;Added to queue 1
1133;02:05;Added to queue 1
1394;02:05;Added to queue 1
2141;02:05;Added to queue 1
630;02:06;Added to queue 1
1279;02:06;Added to queue 1
1608;02:06;Added to queue 1
2611;02:06;Added to queue 1
659;02:08;Added to queue 1
224;02:09;Added to queue 1
683;02:09;Added to queue 1
1125;02:09;Added to queue 1
