TID;Starttime;Endtime;Activity
1;2024-03-01 00:00:01;2024-03-01 00:00:03;Validating
1;2024-03-01 00:00:03;2024-03-01 00:00:03;Waiting in queue received
2;2024-03-01 00:00:06;2024-03-01 00:00:08;Validating
2;2024-03-01 00:00:08;2024-03-01 00:00:08;Waiting in queue received
3;2024-03-01 00:00:23;2024-03-01 00:00:25;Validating
3;2024-03-01 00:00:25;2024-03-01 00:00:25;Waiting in queue received
4;2024-03-01 00:00:50;2024-03-01 00:00:52;Validating
4;2024-03-01 00:00:52;2024-03-01 00:00:52;Waiting in queue received
5;2024-03-01 00:00:51;2024-03-01 00:00:53;Validating
5;2024-03-01 00:00:53;2024-03-01 00:00:53;Waiting in queue received
6;2024-03-01 00:01:14;2024-03-01 00:01:16;Validating
6;2024-03-01 00:01:16;2024-03-01 00:01:16;Waiting in queue received
7;2024-03-01 00:01:23;2024-03-01 00:01:25;Validating
7;2024-03-01 00:01:25;2024-03-01 00:01:25;Waiting in queue received
8;2024-03-01 00:01:26;2024-03-01 00:01:28;Validating
8;2024-03-01 00:01:28;2024-03-01 00:01:28;Waiting in queue received
9;2024-03-01 00:01:34;2024-03-01 00:01:36;Validating
9;2024-03-01 00:01:36;2024-03-01 00:01:36;Waiting in queue received
10;2024-03-01 00:02:44;2024-03-01 00:02:46;Validating
10;2024-03-01 00:02:46;2024-03-01 00:02:46;Waiting in queue received
11;2024-03-01 00:02:53;2024-03-01 00:02:55;Validating
11;2024-03-01 00:02:55;2024-03-01 00:02:55;Waiting in queue received
12;2024-03-01 00:03:09;2024-03-01 00:03:11;Validating
13;2024-03-01 00:03:09;2024-03-01 00:03:11;Validating
12;2024-03-01 00:03:11;2024-03-01 00:03:11;Waiting in queue received
13;2024-03-01 00:03:11;2024-03-01 00:03:11;Waiting in queue received
14;2024-03-01 00:03:12;2024-03-01 00:03:14;Validating
14;2024-03-01 00:03:14;2024-03-01 00:03:14;Waiting in queue received
15;2024-03-01 00:03:15;2024-03-01 00:03:17;Validating
15;2024-03-01 00:03:17;2024-03-01 00:03:17;Waiting in queue received
16;2024-03-01 00:03:27;2024-03-01 00:03:29;Validating
16;2024-03-01 00:03:29;2024-03-01 00:03:29;Waiting in queue received
17;2024-03-01 00:03:50;2024-03-01 00:03:52;Validating
17;2024-03-01 00:03:52;2024-03-01 00:03:52;Waiting in queue received
18;2024-03-01 00:04:14;2024-03-01 00:04:16;Validating
18;2024-03-01 00:04:16;2024-03-01 00:04:16;Waiting in queue received
19;2024-03-01 00:04:39;2024-03-01 00:04:41;Validating
19;2024-03-01 00:04:41;2024-03-01 00:04:41;Waiting in queue received
20;2024-03-01 00:04:49;2024-03-01 00:04:51;Validating
20;2024-03-01 00:04:51;2024-03-01 00:04:51;Waiting in queue received
21;2024-03-01 00:05:10;2024-03-01 00:05:12;Validating
21;2024-03-01 00:05:12;2024-03-01 00:05:12;Waiting in queue received
22;2024-03-01 00:05:28;2024-03-01 00:05:30;Validating
22;2024-03-01 00:05:30;2024-03-01 00:05:30;Waiting in queue received
23;2024-03-01 00:05:35;2024-03-01 00:05:37;Validating
23;2024-03-01 00:05:37;2024-03-01 00:05:37;Waiting in queue received
24;2024-03-01 00:05:50;2024-03-01 00:05:52;Validating
24;2024-03-01 00:05:52;2024-03-01 00:05:52;Waiting in queue received
25;2024-03-01 00:06:53;2024-03-01 00:06:55;Validating
25;2024-03-01 00:06:55;2024-03-01 00:06:55;Waiting in queue received
26;2024-03-01 00:08:06;2024-03-01 00:08:08;Validating
26;2024-03-01 00:08:08;2024-03-01 00:08:08;Waiting in queue received
27;2024-03-01 00:08:07;2024-03-01 00:08:09;Validating
27;2024-03-01 00:08:09;2024-03-01 00:08:09;Waiting in queue received
28;2024-03-01 00:08:39;2024-03-01 00:08:41;Validating
28;2024-03-01 00:08:41;2024-03-01 00:08:41;Waiting in queue received
29;2024-03-01 00:08:48;2024-03-01 00:08:50;Validating
29;2024-03-01 00:08:50;2024-03-01 00:08:50;Waiting in queue received
30;2024-03-01 00:09:07;2024-03-01 00:09:09;Validating
30;2024-03-01 00:09:09;2024-03-01 00:09:09;Waiting in queue received
31;2024-03-01 00:09:10;2024-03-01 00:09:12;Validating
31;2024-03-01 00:09:12;2024-03-01 00:09:12;Waiting in queue received
32;2024-03-01 00:09:48;2024-03-01 00:09:50;Validating
32;2024-03-01 00:09:50;2024-03-01 00:09:50;Waiting in queue received
33;2024-03-01 00:09:49;2024-03-01 00:09:51;Validating
33;2024-03-01 00:09:51;2024-03-01 00:09:51;Waiting in queue received
34;2024-03-01 00:10:34;2024-03-01 00:10:36;Validating
34;2024-03-01 00:10:36;2024-03-01 00:10:36;Waiting in queue received
35;2024-03-01 00:10:44;2024-03-01 00:10:46;Validating
35;2024-03-01 00:10:46;2024-03-01 00:10:46;Waiting in queue received
36;2024-03-01 00:11:02;2024-03-01 00:11:04;Validating
36;2024-03-01 00:11:04;2024-03-01 00:11:04;Waiting in queue received
37;2024-03-01 00:11:12;2024-03-01 00:11:14;Validating
37;2024-03-01 00:11:14;2024-03-01 00:11:14;Waiting in queue received
38;2024-03-01 00:11:48;2024-03-01 00:11:50;Validating
38;2024-03-01 00:11:50;2024-03-01 00:11:50;Waiting in queue received
39;2024-03-01 00:12:04;2024-03-01 00:12:06;Validating
39;2024-03-01 00:12:06;2024-03-01 00:12:06;Waiting in queue received
40;2024-03-01 00:12:39;2024-03-01 00:12:41;Validating
