TID;Starttime;Endtime;Activity
1;2024-03-01 00:00:35;2024-03-01 00:00:37;Validating
1;2024-03-01 00:00:37;2024-03-01 00:00:37;Waiting in queue unmatched
2;2024-03-01 00:02:40;2024-03-01 00:02:42;Validating
2;2024-03-01 00:02:42;2024-03-01 00:02:42;Waiting in queue unmatched
3;2024-03-01 00:02:55;2024-03-01 00:02:57;Validating
3;2024-03-01 00:02:57;2024-03-01 00:02:57;Waiting in queue unmatched
4;2024-03-01 00:03:19;2024-03-01 00:03:21;Validating
4;2024-03-01 00:03:21;2024-03-01 00:03:21;Waiting in queue unmatched
5;2024-03-01 00:05:08;2024-03-01 00:05:10;Validating
5;2024-03-01 00:05:10;2024-03-01 00:05:10;Waiting in queue unmatched
6;2024-03-01 00:08:18;2024-03-01 00:08:20;Validating
6;2024-03-01 00:08:20;2024-03-01 00:08:20;Waiting in queue unmatched
7;2024-03-01 00:11:04;2024-03-01 00:11:06;Validating
7;2024-03-01 00:11:06;2024-03-01 00:11:06;Waiting in queue unmatched
8;2024-03-01 00:12:09;2024-03-01 00:12:11;Validating
8;2024-03-01 00:12:11;2024-03-01 00:12:11;Waiting in queue unmatched
9;2024-03-01 00:13:08;2024-03-01 00:13:10;Validating
9;2024-03-01 00:13:10;2024-03-01 00:13:10;Waiting in queue unmatched
10;2024-03-01 00:17:14;2024-03-01 00:17:16;Validating
10;2024-03-01 00:17:16;2024-03-01 00:17:16;Waiting in queue unmatched
11;2024-03-01 00:21:14;2024-03-01 00:21:16;Validating
11;2024-03-01 00:21:16;2024-03-01 00:21:16;Waiting in queue unmatched
12;2024-03-01 00:22:04;2024-03-01 00:22:06;Validating
12;2024-03-01 00:22:06;2024-03-01 00:22:06;Waiting in queue unmatched
13;2024-03-01 00:24:35;2024-03-01 00:24:37;Validating
13;2024-03-01 00:24:37;2024-03-01 00:24:37;Waiting in queue unmatched
14;2024-03-01 00:24:54;2024-03-01 00:24:56;Validating
14;2024-03-01 00:24:56;2024-03-01 00:24:56;Waiting in queue unmatched
15;2024-03-01 00:25:39;2024-03-01 00:25:41;Validating
15;2024-03-01 00:25:41;2024-03-01 00:25:41;Waiting in queue unmatched
16;2024-03-01 00:25:44;2024-03-01 00:25:46;Validating
16;2024-03-01 00:25:46;2024-03-01 00:25:46;Waiting in queue unmatched
17;2024-03-01 00:27:04;2024-03-01 00:27:06;Validating
17;2024-03-01 00:27:06;2024-03-01 00:27:06;Waiting in queue unmatched
18;2024-03-01 00:32:34;2024-03-01 00:32:36;Validating
18;2024-03-01 00:32:36;2024-03-01 00:32:36;Waiting in queue unmatched
19;2024-03-01 00:37:38;2024-03-01 00:37:40;Validating
19;2024-03-01 00:37:40;2024-03-01 00:37:40;Waiting in queue unmatched
20;2024-03-01 00:39:09;2024-03-01 00:39:11;Validating
20;2024-03-01 00:39:11;2024-03-01 00:39:11;Waiting in queue unmatched
21;2024-03-01 00:44:38;2024-03-01 00:44:40;Validating
21;2024-03-01 00:44:40;2024-03-01 00:44:40;Waiting in queue unmatched
22;2024-03-01 00:44:49;2024-03-01 00:44:51;Validating
22;2024-03-01 00:44:51;2024-03-01 00:44:51;Waiting in queue unmatched
23;2024-03-01 00:46:35;2024-03-01 00:46:37;Validating
23;2024-03-01 00:46:37;2024-03-01 00:46:37;Waiting in queue unmatched
24;2024-03-01 00:47:17;2024-03-01 00:47:19;Validating
24;2024-03-01 00:47:19;2024-03-01 00:47:19;Waiting in queue unmatched
25;2024-03-01 00:47:23;2024-03-01 00:47:25;Validating
25;2024-03-01 00:47:25;2024-03-01 00:47:25;Waiting in queue unmatched
26;2024-03-01 00:50:52;2024-03-01 00:50:54;Validating
26;2024-03-01 00:50:54;2024-03-01 00:50:54;Waiting in queue unmatched
27;2024-03-01 00:51:57;2024-03-01 00:51:59;Validating
27;2024-03-01 00:51:59;2024-03-01 00:51:59;Waiting in queue unmatched
28;2024-03-01 00:52:41;2024-03-01 00:52:43;Validating
28;2024-03-01 00:52:43;2024-03-01 00:52:43;Waiting in queue unmatched
29;2024-03-01 00:53:12;2024-03-01 00:53:14;Validating
29;2024-03-01 00:53:14;2024-03-01 00:53:14;Waiting in queue unmatched
30;2024-03-01 00:55:10;2024-03-01 00:55:12;Validating
30;2024-03-01 00:55:12;2024-03-01 00:55:12;Waiting in queue unmatched
31;2024-03-01 00:56:04;2024-03-01 00:56:06;Validating
31;2024-03-01 00:56:06;2024-03-01 00:56:06;Waiting in queue unmatched
32;2024-03-01 00:57:38;2024-03-01 00:57:40;Validating
32;2024-03-01 00:57:40;2024-03-01 00:57:40;Waiting in queue unmatched
33;2024-03-01 00:58:01;2024-03-01 00:58:03;Validating
33;2024-03-01 00:58:03;2024-03-01 00:58:03;Waiting in queue unmatched
34;2024-03-01 00:58:51;2024-03-01 00:58:53;Validating
34;2024-03-01 00:58:53;2024-03-01 00:58:53;Waiting in queue unmatched
35;2024-03-01 01:03:22;2024-03-01 01:03:24;Validating
35;2024-03-01 01:03:24;2024-03-01 01:03:24;Waiting in queue unmatched
36;2024-03-01 01:06:13;2024-03-01 01:06:15;Validating
36;2024-03-01 01:06:15;2024-03-01 01:06:15;Waiting in queue unmatched
37;2024-03-01 01:07:13;2024-03-01 01:07:15;Validating
38;2024-03-01 01:07:13;2024-03-01 01:07:15;Validating
37;2024-03-01 01:07:15;2024-03-01 01:07:15;Waiting in queue unmatched
38;2024-03-01 01:07:15;2024-03-01 01:07:15;Waiting in queue unmatched
39;2024-03-01 01:11:28;2024-03-01 01:11:30;Validating
39;2024-03-01 01:11:30;2024-03-01 01:11:30;Waiting in queue unmatched
40;2024-03-01 01:11:54;2024-03-01 01:11:56;Validating
40;2024-03-01 01:11:56;2024-03-01 01:11:56;Waiting in queue unmatched
41;2024-03-01 01:13:35;2024-03-01 01:13:37;Validating
41;2024-03-01 01:13:37;2024-03-01 01:13:37;Waiting in queue unmatched
42;2024-03-01 01:18:23;2024-03-01 01:18:25;Validating
42;2024-03-01 01:18:25;2024-03-01 01:18:25;Waiting in queue unmatched
43;2024-03-01 01:30:20;2024-03-01 01:30:22;Validating
43;2024-03-01 01:30:22;2024-03-01 01:30:22;Waiting in queue unmatched
44;2024-03-01 01:30:47;2024-03-01 01:30:49;Validating
44;2024-03-01 01:30:49;2024-03-01 01:30:49;Waiting in queue unmatched
45;2024-03-01 01:32:52;2024-03-01 01:32:54;Validating
45;2024-03-01 01:32:54;2024-03-01 01:32:54;Waiting in queue unmatched
46;2024-03-01 01:35:47;2024-03-01 01:35:49;Validating
46;2024-03-01 01:35:49;2024-03-01 01:35:49;Waiting in queue unmatched
47;2024-03-01 01:37:03;2024-03-01 01:37:05;Validating
47;2024-03-01 01:37:05;2024-03-01 01:37:05;Waiting in queue unmatched
48;2024-03-01 01:37:30;2024-03-01 01:37:32;Validating
48;2024-03-01 01:37:32;2024-03-01 01:37:32;Waiting in queue unmatched
49;2024-03-01 01:37:42;2024-03-01 01:37:44;Validating
49;2024-03-01 01:37:44;2024-03-01 01:37:44;Waiting in queue unmatched
50;2024-03-01 01:39:40;2024-03-01 01:39:42;Validating
50;2024-03-01 01:39:42;2024-03-01 01:39:42;Waiting in queue unmatched
51;2024-03-01 01:40:50;2024-03-01 01:40:52;Validating
51;2024-03-01 01:40:52;2024-03-01 01:40:52;Waiting in queue unmatched
52;2024-03-01 01:42:08;2024-03-01 01:42:10;Validating
52;2024-03-01 01:42:10;2024-03-01 01:42:10;Waiting in queue unmatched
53;2024-03-01 01:42:33;2024-03-01 01:42:35;Validating
41;2024-03-01 01:42:35;2024-03-01 01:42:37;Matching
53;2024-03-01 01:42:35;2024-03-01 01:42:37;Matching
41;2024-03-01 01:42:37;2024-03-01 01:42:39;Checking balance and credit
53;2024-03-01 01:42:37;2024-03-01 01:42:39;Checking balance and credit
41;2024-03-01 01:42:39;2024-03-01 01:42:41;Settling
53;2024-03-01 01:42:39;2024-03-01 01:42:41;Settling
54;2024-03-01 01:42:45;2024-03-01 01:42:47;Validating
54;2024-03-01 01:42:47;2024-03-01 01:42:47;Waiting in queue unmatched
55;2024-03-01 01:45:26;2024-03-01 01:45:28;Validating
51;2024-03-01 01:45:28;2024-03-01 01:45:30;Matching
55;2024-03-01 01:45:28;2024-03-01 01:45:30;Matching
51;2024-03-01 01:45:30;2024-03-01 01:45:32;Checking balance and credit
55;2024-03-01 01:45:30;2024-03-01 01:45:32;Checking balance and credit
51;2024-03-01 01:45:32;2024-03-01 01:45:34;Settling
55;2024-03-01 01:45:32;2024-03-01 01:45:34;Settling
56;2024-03-01 01:45:57;2024-03-01 01:45:59;Validating
56;2024-03-01 01:45:59;2024-03-01 01:45:59;Waiting in queue unmatched
57;2024-03-01 01:46:42;2024-03-01 01:46:44;Validating
57;2024-03-01 01:46:44;2024-03-01 01:46:44;Waiting in queue unmatched
58;2024-03-01 01:51:20;2024-03-01 01:51:22;Validating
58;2024-03-01 01:51:22;2024-03-01 01:51:22;Waiting in queue unmatched
59;2024-03-01 01:52:12;2024-03-01 01:52:14;Validating
59;2024-03-01 01:52:14;2024-03-01 01:52:14;Waiting in queue unmatched
60;2024-03-01 01:56:43;2024-03-01 01:56:45;Validating
60;2024-03-01 01:56:45;2024-03-01 01:56:45;Waiting in queue unmatched
61;2024-03-01 01:57:54;2024-03-01 01:57:56;Validating
61;2024-03-01 01:57:56;2024-03-01 01:57:56;Waiting in queue unmatched
62;2024-03-01 01:57:58;2024-03-01 01:58:00;Validating
62;2024-03-01 01:58:00;2024-03-01 01:58:00;Waiting in queue unmatched
63;2024-03-01 01:59:02;2024-03-01 01:59:04;Validating
63;2024-03-01 01:59:04;2024-03-01 01:59:04;Waiting in queue unmatched
64;2024-03-01 01:59:26;2024-03-01 01:59:28;Validating
64;2024-03-01 01:59:28;2024-03-01 01:59:28;Waiting in queue unmatched
65;2024-03-01 02:00:40;2024-03-01 02:00:42;Validating
65;2024-03-01 02:00:42;2024-03-01 02:00:42;Waiting in queue unmatched
66;2024-03-01 02:01:18;2024-03-01 02:01:20;Validating
66;2024-03-01 02:01:20;2024-03-01 02:01:20;Waiting in queue unmatched
67;2024-03-01 02:01:56;2024-03-01 02:01:58;Validating
67;2024-03-01 02:01:58;2024-03-01 02:01:58;Waiting in queue unmatched
68;2024-03-01 02:02:40;2024-03-01 02:02:42;Validating
68;2024-03-01 02:02:42;2024-03-01 02:02:42;Waiting in queue unmatched
69;2024-03-01 02:04:04;2024-03-01 02:04:06;Validating
69;2024-03-01 02:04:06;2024-03-01 02:04:06;Waiting in queue unmatched
70;2024-03-01 02:04:26;2024-03-01 02:04:28;Validating
70;2024-03-01 02:04:28;2024-03-01 02:04:28;Waiting in queue unmatched
71;2024-03-01 02:07:16;2024-03-01 02:07:18;Validating
71;2024-03-01 02:07:18;2024-03-01 02:07:18;Waiting in queue unmatched
72;2024-03-01 02:07:26;2024-03-01 02:07:28;Validating
22;2024-03-01 02:07:28;2024-03-01 02:07:30;Matching
72;2024-03-01 02:07:28;2024-03-01 02:07:30;Matching
22;2024-03-01 02:07:30;2024-03-01 02:07:32;Checking balance and credit
72;2024-03-01 02:07:30;2024-03-01 02:07:32;Checking balance and credit
22;2024-03-01 02:07:32;2024-03-01 02:07:34;Settling
72;2024-03-01 02:07:32;2024-03-01 02:07:34;Settling
73;2024-03-01 02:10:23;2024-03-01 02:10:25;Validating
73;2024-03-01 02:10:25;2024-03-01 02:10:25;Waiting in queue unmatched
74;2024-03-01 02:11:13;2024-03-01 02:11:15;Validating
74;2024-03-01 02:11:15;2024-03-01 02:11:15;Waiting in queue unmatched
75;2024-03-01 02:14:21;2024-03-01 02:14:23;Validating
75;2024-03-01 02:14:23;2024-03-01 02:14:23;Waiting in queue unmatched
76;2024-03-01 02:17:56;2024-03-01 02:17:58;Validating
76;2024-03-01 02:17:58;2024-03-01 02:17:58;Waiting in queue unmatched
77;2024-03-01 02:19:55;2024-03-01 02:19:57;Validating
77;2024-03-01 02:19:57;2024-03-01 02:19:57;Waiting in queue unmatched
78;2024-03-01 02:20:05;2024-03-01 02:20:07;Validating
78;2024-03-01 02:20:07;2024-03-01 02:20:07;Waiting in queue unmatched
79;2024-03-01 02:20:18;2024-03-01 02:20:20;Validating
79;2024-03-01 02:20:20;2024-03-01 02:20:20;Waiting in queue unmatched
80;2024-03-01 02:20:26;2024-03-01 02:20:28;Validating
80;2024-03-01 02:20:28;2024-03-01 02:20:28;Waiting in queue unmatched
81;2024-03-01 02:25:03;2024-03-01 02:25:05;Validating
81;2024-03-01 02:25:05;2024-03-01 02:25:05;Waiting in queue unmatched
82;2024-03-01 02:26:29;2024-03-01 02:26:31;Validating
82;2024-03-01 02:26:31;2024-03-01 02:26:31;Waiting in queue unmatched
83;2024-03-01 02:29:00;2024-03-01 02:29:02;Validating
83;2024-03-01 02:29:02;2024-03-01 02:29:02;Waiting in queue unmatched
84;2024-03-01 02:31:28;2024-03-01 02:31:30;Validating
84;2024-03-01 02:31:30;2024-03-01 02:31:30;Waiting in queue unmatched
85;2024-03-01 02:32:23;2024-03-01 02:32:25;Validating
85;2024-03-01 02:32:25;2024-03-01 02:32:25;Waiting in queue unmatched
86;2024-03-01 02:33:43;2024-03-01 02:33:45;Validating
86;2024-03-01 02:33:45;2024-03-01 02:33:45;Waiting in queue unmatched
87;2024-03-01 02:35:09;2024-03-01 02:35:11;Validating
68;2024-03-01 02:35:11;2024-03-01 02:35:13;Matching
87;2024-03-01 02:35:11;2024-03-01 02:35:13;Matching
68;2024-03-01 02:35:13;2024-03-01 02:35:15;Checking balance and credit
87;2024-03-01 02:35:13;2024-03-01 02:35:15;Checking balance and credit
68;2024-03-01 02:35:15;2024-03-01 02:35:17;Settling
87;2024-03-01 02:35:15;2024-03-01 02:35:17;Settling
88;2024-03-01 02:43:41;2024-03-01 02:43:43;Validating
88;2024-03-01 02:43:43;2024-03-01 02:43:43;Waiting in queue unmatched
89;2024-03-01 02:43:56;2024-03-01 02:43:58;Validating
43;2024-03-01 02:43:58;2024-03-01 02:44:00;Matching
89;2024-03-01 02:43:58;2024-03-01 02:44:00;Matching
43;2024-03-01 02:44:00;2024-03-01 02:44:02;Checking balance and credit
89;2024-03-01 02:44:00;2024-03-01 02:44:02;Checking balance and credit
43;2024-03-01 02:44:02;2024-03-01 02:44:04;Settling
89;2024-03-01 02:44:02;2024-03-01 02:44:04;Settling
