PartID-securities;00:00:00;00:15:00;00:30:00;00:45:00;01:00:00;01:15:00;01:30:00;01:45:00;02:00:00;02:15:00;02:30:00;02:45:00;03:00:00;03:15:00;03:30:00;03:45:00;04:00:00;04:15:00;04:30:00;04:45:00;05:00:00;05:15:00;05:30:00;05:45:00;06:00:00;06:15:00;06:30:00;06:45:00;07:00:00;07:15:00;07:30:00;07:45:00;08:00:00;08:15:00;08:30:00;08:45:00;09:00:00;09:15:00;09:30:00;09:45:00;10:00:00;10:15:00;10:30:00;10:45:00;11:00:00;11:15:00;11:30:00;11:45:00;12:00:00;12:15:00;12:30:00;12:45:00;13:00:00;13:15:00;13:30:00;13:45:00;14:00:00;14:15:00;14:30:00;14:45:00;15:00:00;15:15:00;15:30:00;15:45:00;16:00:00;16:15:00;16:30:00;16:45:00;17:00:00;17:15:00;17:30:00;17:45:00;18:00:00;18:15:00;18:30:00;18:45:00;19:00:00;19:15:00;19:30:00;19:45:00;20:00:00;20:15:00;20:30:00;20:45:00;21:00:00;21:15:00;21:30:00;21:45:00;22:00:00;22:15:00;22:30:00;22:45:00;23:00:00;23:15:00;23:30:00;23:45:00
1;534731706;534731706;534731706;534731706;534731706;534731706;534731706;526004103;522057066;522893865;522893865;522893865;522893865;522893865;525031708;525031708;525031708;525031708;525031708;518832903;518832903;507549110;502726262;502726262;480374128;481438376;480136704;480136704;475562593;472633219;461695720;449677599;450857208;451082107;451691493;456033101;448147380;449384550;426424503;426424503;427103989;427103989;427103989;428316581;424655387;414028647;415078053;401019795;388144610;364953792;345590635;346148690;344699710;332755419;334753605;333690407;328220589;296588165;298827831;300750816;301762968;293421528;281822545;279192588;272745908;267186255;268810532;263912322;261133161;264856905;264856905;261544445;261544445;257753418;256384883;248061569;248061569;249943484;249943484;249943484;249943484;249943484;249943484;249943484;249943484;249943484;249943484;249943484;249943484;249943484;249943484;249943484;249943484;249943484;249943484;249943484
2;668954276;668954276;668954276;668954276;668954276;668954276;668954276;677462909;683881783;683881783;680869386;680869386;680869386;689626166;689452491;691484754;698374707;702288402;707811805;707811805;712130404;712130404;712130404;712130404;714543864;712505511;715970597;721913219;711726827;714656201;712778842;712778842;718774614;717225640;717524445;715875298;708111546;712048216;712048216;713305535;697870746;677377228;681705911;675400902;676429052;676429052;681558546;674461561;675266993;684280168;684280168;685775646;687735737;666253550;655904084;655117392;653945610;656813355;641076634;648299798;641199505;638274428;642175806;642010892;649945966;656478378;658454924;658929170;664025473;682152956;672793982;680353604;682676734;680540611;680540611;685471053;687784858;687082128;687082128;687082128;687082128;687082128;687082128;687082128;687082128;687082128;687082128;687082128;687082128;687082128;687082128;687082128;687082128;687082128;687082128;687082128
3;636578246;636578246;636578246;636578246;636578246;636578246;636578246;635616978;635616978;642406127;635674724;635674724;635674724;635674724;633536881;622922872;622922872;625513983;624070249;625611469;625611469;631018846;631018846;633336163;633336163;633336163;633336163;638238344;638238344;626944296;626944296;623935266;618474467;593547059;593547059;598951762;604072739;602706951;607773905;607773905;610543402;598633398;599554267;599554267;608189870;606312200;606312200;606871597;605486273;600059337;591794577;586768831;584050276;570255021;570517721;569631136;573019633;573019633;572226119;569211928;573571094;560959148;558425247;549075642;554166127;559535153;561194201;555137293;533393004;521849738;507122915;498887587;495017787;494386795;498733099;493802658;492093240;492093240;487616880;487616880;487616880;487616880;487616880;487616880;487616880;487616880;487616880;487616880;487616880;487616880;487616880;487616880;487616880;487616880;487616880;487616880
4;396440390;396440390;396440390;396440390;396440390;396440390;396440390;386304008;386304008;386304008;401720277;401720277;400392688;410532419;410532419;403233900;396146910;396146910;396146910;410734295;420411168;417803232;417803232;414030496;425526018;419793862;419793862;413396813;435734110;435734110;446671609;448725064;448725064;448725064;448725064;464554129;464554129;445072494;454130117;455195823;463984536;471551961;458566581;458566581;452732673;463772243;472381583;465606325;461422621;458022162;437991473;437991473;441687238;440261039;446592641;429722256;429639547;427304609;427304609;427304609;431305501;450187211;459949603;448213866;461568793;465548477;457949012;462512361;470192745;466812022;466608697;465713065;471103586;471103586;471103586;474846067;474846067;474846067;481175282;481175282;481175282;481175282;481175282;481175282;481175282;481175282;481175282;481175282;481175282;481175282;481175282;481175282;481175282;481175282;481175282;481175282
5;356900896;356900896;356900896;356900896;356900896;356900896;356900896;360560794;363589346;366096586;366096586;366096586;369741122;369741122;365785225;365785225;371250033;368658923;359851020;359851020;364802946;364802946;366698955;370345346;370345346;370345346;371861181;378721485;385991711;385991711;384912030;387074823;387074823;387461078;392976223;397386426;403924580;403924580;403924580;397723609;395485101;394217862;387168869;387168869;378953458;385408318;387624032;387624032;392632995;391817192;388145805;382111705;382111705;387631778;391945325;391425367;390172762;379225643;372714067;382666539;382050897;375473613;359210845;367196917;372466381;387441056;387431953;385964539;385662029;375344691;363846461;367061442;374039093;374039093;374039093;374039093;374039093;374039093;374039093;374039093;374039093;374039093;374039093;374039093;374039093;374039093;374039093;374039093;374039093;374039093;374039093;374039093;374039093;374039093;374039093;374039093
6;742287832;742287832;742287832;742287832;742287832;742287832;742287832;750030981;750030981;750030981;750030981;750030981;750030981;750030981;758685817;758685817;777738054;777717433;780162920;780162920;780162920;772483343;768822275;765501770;765501770;761086416;762453037;756712100;756712100;756712100;768623939;780368016;780368016;794499816;793996006;793768167;781936423;783265970;791194898;796722523;798947703;793632197;807377497;809857750;809857750;798328159;798235364;806081289;806081289;810285896;810285896;810285896;828962566;840940040;834672652;823248254;813954230;849657552;865713873;863258064;863258064;864444999;868910929;876864642;881350199;881748606;875021540;899847226;895382224;900989634;902906115;912552700;921224661;921224661;918859111;918859111;918859111;918859111;918859111;918859111;918859111;918859111;918859111;918859111;918859111;918859111;918859111;918859111;918859111;918859111;918859111;918859111;918859111;918859111;918859111;918859111
7;595157682;595157682;595157682;595157682;595157682;595157682;595157682;595217195;595217195;595217195;592059520;603582301;603582301;603582301;603582301;592037632;591079767;591079767;585556364;585556364;585556364;593235941;608236352;605702175;617868521;617868521;617868521;614986793;613124670;616674499;616674499;616674499;616674499;616674499;605856541;615872049;595166731;595166731;597755831;585827856;587618085;598096075;598096075;610843038;590150056;579420006;580892995;580892995;596964213;608445490;606699921;613277221;600311369;600311369;593587006;608762702;622049115;622049115;633707146;632377257;632377257;638312702;627304001;633623331;644397543;651532887;658879189;660763305;661486357;661486357;670001588;674682264;693751031;693090394;703765068;703765068;703765068;704806876;693021918;693021918;693021918;693021918;693021918;693021918;693021918;693021918;693021918;693021918;693021918;693021918;693021918;693021918;693021918;693021918;693021918;693021918
8;224703505;224703505;224703505;224703505;224703505;224703505;224703505;202397298;198846482;198846482;198846482;198846482;193215113;193215113;193215113;188592161;184874075;184874075;184874075;185370428;186298338;187012674;187012674;187012674;186811729;186811729;178473569;167207441;156033928;156033928;158990968;154042641;155692359;152231570;154044241;154044241;154044241;147596596;147596596;147596596;149549869;146760064;131704006;119802561;120502329;120502329;118706044;118706044;110440531;104709649;104344067;104344067;104344067;100714705;101467534;100446819;100551673;97090232;97090232;85843974;85843974;86632359;86297050;86297050;85447999;71267642;71152555;70264683;71016352;71242133;73182273;53439329;37934503;31116167;32027897;31608247;26084270;27593455;27593455;27593455;27593455;27593455;27593455;27593455;27593455;27593455;27593455;27593455;27593455;27593455;27593455;27593455;27593455;27593455;27593455;27593455
9;624445483;624445483;624445483;624445483;624445483;624445483;624445483;619294711;619294711;619294711;619294711;619294711;633695098;628296795;628296795;628296795;628296795;631956986;631381942;631381942;621705070;622051735;623113605;612024290;612024290;611609976;633209446;641396176;637549503;636901293;636901293;636901293;636901293;635845560;634032889;620903305;613468514;619276283;624980636;628206483;628206483;633574359;626099320;626099320;629489508;626067441;632507600;632507600;644701892;646115698;646115698;646115698;646115698;688598689;691225082;717659687;700259553;705611610;699890572;699890572;699890572;711981082;712278396;712278396;704519354;704373096;707670286;708862755;697199892;673817299;687363493;696361622;691580276;691580276;680414554;685112935;693154474;700755250;717016569;717016569;717016569;717016569;717016569;717016569;717016569;717016569;717016569;717016569;717016569;717016569;717016569;717016569;717016569;717016569;717016569;717016569
10;706722371;706722371;706722371;706722371;706722371;706722371;706722371;709748405;698808050;698808050;711644685;717634335;717634335;717634335;717634335;717634335;717634335;715863569;714861815;705162537;705162537;706290681;705753440;715750596;711149287;711149287;709435834;710930701;715504812;715928411;710371606;705232616;714393551;693908092;693908092;681217402;698065768;698741886;698887105;710220526;721690667;721690667;729165706;729165706;723227944;739294034;739294034;739294034;746493615;744133769;738263731;749993036;749993036;752490619;757165362;769737215;777502440;777502440;781133942;804648036;807016315;798430387;798430387;792112615;766629873;766081738;765741665;776599722;780872402;782506556;792778733;791839217;780456707;780456707;780456707;769470264;760365560;760365560;754036345;754036345;754036345;754036345;754036345;754036345;754036345;754036345;754036345;754036345;754036345;754036345;754036345;754036345;754036345;754036345;754036345;754036345
